,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1152000200.0,1152000200.0,1152000000.0,1152000000.0
Share Issued,1152000200.0,1152000200.0,1152000000.0,1152000000.0
Net Debt,,102043478.95,,
Total Debt,131769097.93,201580492.41,98455937.75,2861581.91
Tangible Book Value,1815982657.58,2022158175.69,2224692898.46,2565420190.14
Invested Capital,2021470759.34,2299834433.25,2400860005.88,2649602837.14
Working Capital,293854698.34,253139102.26,311780542.11,587693531.55
Net Tangible Assets,1815982657.58,2022158175.69,2224692898.46,2565420190.14
Capital Lease Obligations,255812.43,1362337.65,1364258.66,2300570.82
Common Stock Equity,1891310051.02,2101570894.62,2304738205.88,2649602837.14
Total Capitalization,1891310051.02,2101570894.62,2304738205.88,2649602837.14
Total Equity Gross Minority Interest,1888306118.25,2098574567.81,2301470654.81,2649602837.14
Minority Interest,-3003932.77,-2996326.81,-3267551.07,
Stockholders Equity,1891310051.02,2101570894.62,2304738205.88,2649602837.14
Treasury Stock,201001825.5,201001825.5,201001825.5,
Retained Earnings,410096240.19,524539738.09,695253326.42,866693628.1
Additional Paid In Capital,219470309.03,219470309.03,206385571.23,206385571.23
Capital Stock,1152000200.0,1152000200.0,1152000000.0,1152000000.0
Common Stock,1152000200.0,1152000200.0,1152000000.0,1152000000.0
Total Liabilities Net Minority Interest,426163979.28,568193639.68,473819094.33,372135915.52
Total Non Current Liabilities Net Minority Interest,68416938.31,104492660.12,113941204.49,109789986.02
Other Non Current Liabilities,,11800794.02,9282376.77,
Non Current Deferred Revenue,42326394.03,48542392.22,55247328.46,60707764.68
Non Current Deferred Taxes Liabilities,25834731.85,42787136.23,48047240.6,46781650.52
Long Term Debt And Capital Lease Obligation,255812.43,1362337.65,1364258.66,2300570.82
Long Term Capital Lease Obligation,255812.43,1362337.65,1364258.66,2300570.82
Current Liabilities,357747040.97,463700979.56,359877889.84,262345929.5
Other Current Liabilities,4022831.54,5161731.41,2701060.53,4101252.98
Current Debt And Capital Lease Obligation,131513285.5,200218154.76,97091679.09,561011.09
Current Debt,130160708.32,198263538.63,96121800.0,0.0
Payables,191265993.73,215729365.39,237286500.04,226354643.25
Other Payable,96916876.21,118911663.78,102794543.66,91914671.62
Total Tax Payable,16825972.43,4425797.06,10196697.63,6673837.1
Accounts Payable,77523145.09,92391904.55,124295258.75,127766134.53
Total Assets,2314470097.53,2666768207.49,2775289749.14,3021738752.66
Total Non Current Assets,1662868358.22,1949928125.67,2103631317.19,2171699291.61
Other Non Current Assets,8930140.98,4007256.88,4735298.07,7724942.72
Non Current Deferred Assets,271706.15,1033862.27,2400307.64,2617967.04
Non Current Deferred Taxes Assets,19513696.73,31083815.55,25944670.38,15504725.81
Investmentin Financial Assets,2393964.65,,,
Available For Sale Securities,2393964.65,,,
Long Term Equity Investment,230751982.77,407567639.73,475853579.73,501723447.83
Investment Properties,,,,14608596.64
Goodwill And Other Intangible Assets,75327393.44,79412718.93,80045307.42,84182647.0
Other Intangible Assets,75327393.44,79412718.93,80045307.42,84182647.0
Net PPE,1325679473.5,1426822832.31,1514652153.95,1545336964.57
Accumulated Depreciation,-985566517.7,-942235697.36,-806889816.99,-699635843.53
Gross PPE,2311245991.2,2369058529.67,2321541970.94,2244972808.1
Construction In Progress,12832648.36,23061304.9,37254521.48,61413688.1
Other Properties,28548970.32,30963094.7,28068662.49,27850939.28
Machinery Furniture Equipment,763564559.48,809606292.39,774376386.89,704659409.32
Buildings And Improvements,,,,
Properties,1506299813.04,1505427837.68,1481842400.08,1451048771.4
Current Assets,651601739.31,716840081.82,671658431.95,850039461.05
Other Current Assets,19913279.89,38664561.1,14124929.11,16235356.4
Prepaid Assets,40543689.27,69862439.89,88524062.38,78721506.93
Inventory,345564256.88,425313736.62,348646790.85,350756117.12
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,122301244.24,91575478.77,30813084.49,26351034.15
Work In Process,76935123.28,127303860.93,168908091.61,187561482.78
Raw Materials,146327889.36,206434396.92,148925614.75,136843600.19
Other Receivables,3526301.08,53812010.4,1614952.93,1554004.93
Accounts Receivable,40611203.74,32967274.13,75690351.79,35184235.52
Allowance For Doubtful Accounts Receivable,-22412908.13,-27824993.11,-26926750.93,-22062861.7
Gross Accounts Receivable,63024111.87,60792267.24,102617102.72,57247097.22
Cash Cash Equivalents And Short Term Investments,201443008.45,96220059.68,143057344.89,367588240.15
Other Short Term Investments,7000000.0,,,10079109.59
Cash And Cash Equivalents,194443008.45,96220059.68,143057344.89,357509130.56
Cash Equivalents,2542134.09,1667.84,867.84,1651249.99
Cash Financial,191900874.36,96218391.84,143056477.05,355857880.57
