,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-411926.85324,-809809.718747,-205870.304387,-546227.252724
Tax Rate For Calcs,0.085326,0.120003,0.055387,0.109235
Normalized EBITDA,152756912.58,161717287.78,149141781.35,172466562.03
Total Unusual Items,-4827708.8,-6748249.73,-3716951.39,-5000476.95
Total Unusual Items Excluding Goodwill,-4827708.8,-6748249.73,-3716951.39,-5000476.95
Net Income From Continuing Operation Net Minority Interest,55233542.43,59883300.47,62343656.0,90330808.06
Reconciled Depreciation,82220352.34,81479108.07,73498402.28,62550679.99
Reconciled Cost Of Revenue,868400379.43,822690286.12,809853649.62,750700485.24
EBITDA,147929203.78,154969038.05,145424829.96,167466085.08
EBIT,65708851.44,73489929.98,71926427.68,104915405.09
Net Interest Income,-5771298.93,-5564136.31,-5402353.73,-2937328.48
Interest Expense,5322840.07,5440498.57,5927285.77,3507277.06
Interest Income,365972.77,154220.42,213586.64,674632.64
Normalized Income,59649324.37676,65821740.481253,65854737.085613,94785057.757276
Net Income From Continuing And Discontinued Operation,55233542.43,59883300.47,62343656.0,90330808.06
Total Expenses,971279928.2,927053123.45,913245479.9,858117204.47
Total Operating Income As Reported,64472604.58,68322790.33,65730103.31,102509835.41
Diluted Average Shares,294108320.0,293977911.0,292968308.0,294157313.0
Basic Average Shares,294108320.0,293977911.0,292968308.0,290920477.0
Diluted EPS,0.1878,0.2037,0.2128,0.307083
Basic EPS,0.1878,0.2037,0.2128,0.3105
Net Income Common Stockholders,55233542.43,59883300.47,62343656.0,90330808.06
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,55233542.43,59883300.47,62343656.0,90330808.06
Net Income Including Noncontrolling Interests,55233542.43,59883300.47,62343656.0,90330808.06
Net Income Continuous Operations,55233542.43,59883300.47,62343656.0,90330808.06
Tax Provision,5152468.94,8166130.94,3655485.91,11077319.97
Pretax Income,60386011.37,68049431.41,65999141.91,101408128.03
Other Non Operating Income Expenses,-4086593.21,-273358.92,269038.6,-1101707.38
Special Income Charges,-4827708.8,-6748249.73,-3716951.39,-5000476.95
Other Special Charges,-329516.88,-135835.75,-764379.02,-1433499.16
Write Off,1261326.52,2526122.16,3289549.56,937238.69
Impairment Of Capital Assets,3895899.16,4357963.32,1191780.85,5496737.42
Net Non Operating Interest Income Expense,-5771298.93,-5564136.31,-5402353.73,-2937328.48
Total Other Finance Cost,814431.63,277858.16,-311345.4,104684.06
Interest Expense Non Operating,5322840.07,5440498.57,5927285.77,3507277.06
Interest Income Non Operating,365972.77,154220.42,213586.64,674632.64
Operating Income,73289831.2,74594397.84,67605744.26,115787456.22
Operating Expense,102879548.77,104362837.33,103391830.28,107416719.23
Other Operating Expenses,9864150.72,9187577.19,9556363.54,8393721.28
Depreciation And Amortization In Income Statement,8119927.72,9635952.55,10619763.73,10580655.78
Amortization,2101964.96,2101445.01,2031481.99,2043020.21
Depreciation Income Statement,6017962.76,7534507.54,8588281.74,8537635.57
Research And Development,55522695.98,54074844.91,57282361.99,50141353.98
Selling General And Administration,21437216.52,26178631.09,18505306.81,32532678.32
Selling And Marketing Expense,1983318.54,4461017.96,3572285.57,4882152.22
General And Administrative Expense,19453897.98,21717613.13,14933021.24,27650526.1
Gross Profit,176169379.97,178957235.17,170997574.54,223204175.45
Cost Of Revenue,868400379.43,822690286.12,809853649.62,750700485.24
Total Revenue,1044569759.4,1001647521.29,980851224.16,973904660.69
Operating Revenue,1044569759.4,1001647521.29,980851224.16,973904660.69
