,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-241665024.04,-271579188.66,-167323129.7725,-236197478.4925
Tax Rate For Calcs,0.25,0.25,0.25,0.25
Normalized EBITDA,4145548970.74,3825527760.41,3030731392.96,2924018544.95
Total Unusual Items,-966660096.16,-1086316754.64,-669292519.09,-944789913.97
Total Unusual Items Excluding Goodwill,-966660096.16,-1086316754.64,-669292519.09,-944789913.97
Net Income From Continuing Operation Net Minority Interest,839390861.36,560162663.16,657312908.24,561213020.79
Reconciled Depreciation,2377073974.39,2315317807.89,1845416204.42,1666429718.35
Reconciled Cost Of Revenue,15624405247.68,13391165470.26,11266545932.81,11136385572.6
EBITDA,3178888874.58,2739211005.77,2361438873.87,1979228630.98
EBIT,801814900.19,423893197.88,516022669.45,312798912.63
Net Interest Income,-18420704.71,-13408629.72,-14377198.01,58170495.21
Interest Expense,208563679.8,194798266.37,96251666.74,65047181.27
Interest Income,57369998.76,72891840.35,85655901.7,132781674.82
Normalized Income,1564385933.48,1374900229.14,1159282297.5575,1269805456.2675
Net Income From Continuing And Discontinued Operation,839390861.36,560162663.16,657312908.24,561213020.79
Total Expenses,25453576970.94,21932607167.87,18741317138.26,17685679038.36
Rent Expense Supplemental,94391554.36,104933377.59,77617125.46,65848312.88
Total Operating Income As Reported,589408209.27,282382162.82,429257877.62,295671190.34
Diluted Average Shares,2331641282.0,2334011096.0,2347546101.0,2338387587.0
Basic Average Shares,2331641282.0,2334011096.0,2347546101.0,2338387587.0
Diluted EPS,0.36,0.24,0.28,0.24
Basic EPS,0.36,0.24,0.28,0.24
Net Income Common Stockholders,839390861.36,560162663.16,657312908.24,561213020.79
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,839390861.36,560162663.16,657312908.24,561213020.79
Minority Interests,-10077758.88,53129030.95,44166449.03,62584943.76
Net Income Including Noncontrolling Interests,849468620.24,507033632.21,613146459.21,498628077.03
Net Income Continuous Operations,849468620.24,507033632.21,613146459.21,498628077.03
Tax Provision,-256217399.85,-277938700.7,-193375456.5,-250876345.67
Pretax Income,593251220.39,229094931.51,419771002.71,247751731.36
Other Non Operating Income Expenses,-147350669.92,-175193657.33,-20082639.95,-47919458.98
Special Income Charges,-965981211.37,-1064399686.45,-749271377.48,-693725652.83
Other Special Charges,-16714469.51,-8005149.95,-12715464.13,-4856560.67
Write Off,928046298.47,965333261.07,677043294.48,617438398.43
Impairment Of Capital Assets,54649382.41,107071575.33,84943547.13,81143815.07
Net Non Operating Interest Income Expense,-18420704.71,-13408629.72,-14377198.01,58170495.21
Total Other Finance Cost,-132772976.33,-108497796.3,3781432.97,9563998.34
Interest Expense Non Operating,208563679.8,194798266.37,96251666.74,65047181.27
Interest Income Non Operating,57369998.76,72891840.35,85655901.7,132781674.82
Operating Income,1651813576.72,1410485850.82,909012070.78,1134555014.55
Operating Expense,9829171723.26,8541441697.61,7474771205.45,6549293465.76
Other Operating Expenses,192305935.16,143951127.88,126447771.74,112113271.86
Depreciation And Amortization In Income Statement,295269828.44,278918223.01,216858295.97,184580738.78
Amortization,95085193.96,80300513.46,53558946.46,31930099.73
Depreciation Income Statement,200184634.48,198617709.55,163299349.51,152650639.05
Research And Development,4438994619.2,3891601383.59,3481185262.99,3111297143.68
Selling General And Administration,3162237089.63,2356795941.7,1955622722.71,1717498697.34
Selling And Marketing Expense,2812927237.14,1897528481.47,1562971643.0,1373648949.11
General And Administrative Expense,349309852.49,459267460.23,392651079.71,343849748.23
Rent And Landing Fees,94391554.36,104933377.59,77617125.46,65848312.88
Gross Profit,11480985299.98,9951927548.43,8383783276.23,7683848480.31
Cost Of Revenue,15624405247.68,13391165470.26,11266545932.81,11136385572.6
Total Revenue,27105390547.66,23343093018.69,19650329209.04,18820234052.91
Operating Revenue,27105390547.66,23343093018.69,19650329209.04,18820234052.91
