,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,603640279.0,597203812.0,579543067.0,579538395.0
Share Issued,603640279.0,597203812.0,579543067.0,579538395.0
Net Debt,4604785702.38,4746255149.29,5031429393.25,4400020469.32
Total Debt,6911919504.61,6680244607.75,6864029898.65,5688410151.93
Tangible Book Value,2274898218.28,2191651648.36,1831313372.31,1497367637.92
Invested Capital,10165892907.46,10094421614.7,9926895636.84,8886290919.79
Working Capital,1658988528.14,1865933882.0,1310367608.5,1260073808.41
Net Tangible Assets,2274898218.28,2191651648.36,1831313372.31,1497367637.92
Capital Lease Obligations,74082454.26,88249217.86,107342328.64,115424995.74
Common Stock Equity,4354582007.41,4280104992.13,3888413968.44,3462734438.66
Total Capitalization,5241333036.17,5382727158.69,4711989988.73,4682812356.1
Total Equity Gross Minority Interest,5604146908.75,5447252773.42,5009850314.82,4392039768.55
Minority Interest,1249564901.34,1167147781.29,1121436346.38,929305329.89
Stockholders Equity,4354582007.41,4280104992.13,3888413968.44,3462734438.66
Other Equity Interest,47022026.64,63823408.33,110188368.59,110200792.83
Retained Earnings,2335734634.86,2340340319.09,2169882834.7,1758021474.01
Additional Paid In Capital,1246541901.97,1159659072.44,921215634.56,914934651.0
Capital Stock,603640279.0,597203812.0,579543067.0,579538395.0
Common Stock,603640279.0,597203812.0,579543067.0,579538395.0
Total Liabilities Net Minority Interest,8701395752.79,8862740506.35,9509012026.4,7624504350.09
Total Non Current Liabilities Net Minority Interest,1157364153.01,1334773566.57,1000222110.03,1442377993.36
Other Non Current Liabilities,6421565.45,2591471.17,8650468.17,14967962.69
Tradeand Other Payables Non Current,135299458.54,71657839.06,26108189.18,62261487.69
Non Current Deferred Revenue,10870012.99,17793943.35,17918863.58,18927504.25
Non Current Deferred Taxes Liabilities,43939633.01,51858928.57,16626240.17,10718125.55
Long Term Debt And Capital Lease Obligation,960833483.02,1190871384.42,930918348.93,1335502913.18
Long Term Capital Lease Obligation,74082454.26,88249217.86,107342328.64,115424995.74
Long Term Debt,886751028.76,1102622166.56,823576020.29,1220077917.44
Current Liabilities,7544031599.78,7527966939.78,8508789916.37,6182126356.73
Other Current Liabilities,18163756.37,26273092.9,39483614.76,35279205.24
Current Debt And Capital Lease Obligation,5951086021.59,5489373223.33,5933111549.72,4352907238.75
Current Debt,4924559871.29,4711694456.01,5214905648.11,4203478563.69
Payables,1485138712.97,1913734362.87,2368687424.75,1611087689.81
Other Payable,218587631.0,254533119.36,382571256.77,306562808.16
Dividends Payable,12971219.37,8807954.37,6899354.4,6972120.0
Total Tax Payable,95005924.07,143708687.45,143012489.01,134075905.2
Accounts Payable,1158573938.53,1506684601.69,1836204324.57,1163476856.45
Total Assets,14305542661.54,14309993279.77,14518862341.22,12016544118.64
Total Non Current Assets,5102522533.62,4916092457.99,4699704816.35,4574343953.5
Other Non Current Assets,5642694.95,4690586.23,12299564.28,16858695.54
Non Current Deferred Assets,133810538.02,142996969.42,118140600.47,117087413.31
Non Current Deferred Taxes Assets,257482309.15,234743455.48,203328685.49,135845732.69
Investmentin Financial Assets,36698795.19,39349591.83,28652184.95,21712097.49
Available For Sale Securities,36698795.19,39349591.83,28652184.95,21712097.49
Long Term Equity Investment,1442616370.31,1172134183.27,1100257337.23,1108514242.4
Goodwill And Other Intangible Assets,2079683789.13,2088453343.77,2057100596.13,1965366800.74
Other Intangible Assets,97004563.07,76644985.54,69459189.01,67710392.19
Goodwill,1982679226.06,2011808358.23,1987641407.12,1897656408.55
Net PPE,1128786258.25,1209821554.83,1156806307.35,1186546446.04
Accumulated Depreciation,-1903030341.22,-1770046856.2,-1557114900.76,-1317200198.82
Gross PPE,3031816599.47,2979868411.03,2713921208.11,2503746644.86
Construction In Progress,2848562.94,18710477.05,41433431.25,19306021.46
Other Properties,2764098299.57,2700344952.46,2498708678.56,2318058986.25
Machinery Furniture Equipment,66000452.95,61943697.51,56779827.12,49329268.63
Buildings And Improvements,,,,
Properties,198869284.01,198869284.01,116999271.18,117052368.52
Current Assets,9203020127.92,9393900821.78,9819157524.87,7442200165.14
Other Current Assets,110315097.24,67099618.2,33013056.09,34372976.53
Prepaid Assets,949084690.18,977624078.27,809408530.51,354967751.0
Inventory,1323439361.67,1376953338.75,1615932474.38,1502437657.13
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,1250289657.62,1258971559.87,1482233444.38,1385725129.15
Work In Process,26014359.88,15898090.64,28914828.53,33965111.17
Raw Materials,47135344.17,102083688.24,104784201.47,82747416.81
Other Receivables,334779247.37,306552860.48,326438859.82,790308954.25
Accounts Receivable,5196676009.6,5539609452.8,5920812328.92,3711086814.42
Allowance For Doubtful Accounts Receivable,-615763066.54,-548839726.49,-468284226.86,-264395068.36
Gross Accounts Receivable,5812439076.14,6088449179.29,6389096555.78,3975481882.78
Cash Cash Equivalents And Short Term Investments,1288725721.86,1126061473.28,1113552275.15,1049026011.81
Other Short Term Investments,82200524.19,58000000.0,106500000.0,25490000.0
Cash And Cash Equivalents,1206525197.67,1068061473.28,1007052275.15,1023536011.81
Cash Equivalents,317513912.56,454773771.99,564761570.33,318414195.1
Cash Financial,889011285.11,613287701.29,442290704.82,705121816.71
