,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,349855339.0,353973939.0,353973939.0,343999939.0
Share Issued,349855339.0,353973939.0,353973939.0,343999939.0
Net Debt,430821248.06,293109930.78,10722366.68,
Total Debt,1053313573.93,935859479.45,605385496.29,372825939.09
Tangible Book Value,825318961.99,1146531949.68,1352033248.17,1307751486.54
Invested Capital,1802938500.55,2071799520.92,1944725349.9,1733203961.77
Working Capital,-6691035.95,218799525.96,351461192.07,168669964.61
Net Tangible Assets,825318961.99,1146531949.68,1352033248.17,1307751486.54
Capital Lease Obligations,1346746.3,2247068.57,3192788.34,1648729.5
Common Stock Equity,1064939987.31,1363446043.29,1502649516.57,1462474772.88
Total Capitalization,1458694001.19,1780736043.29,1747599516.57,1496924772.88
Total Equity Gross Minority Interest,1076196250.22,1392449426.85,1491819052.98,1450803947.96
Minority Interest,11256262.91,29003383.56,-10830463.59,-11670824.92
Stockholders Equity,1064939987.31,1363446043.29,1502649516.57,1462474772.88
Treasury Stock,21232116.0,35745900.0,36189810.0,
Retained Earnings,207391941.18,502683090.9,644598105.86,626896386.06
Additional Paid In Capital,334475276.92,345224854.66,345555764.66,319339954.66
Capital Stock,349855339.0,353860939.0,353973939.0,343999939.0
Common Stock,349855339.0,353860939.0,353973939.0,343999939.0
Total Liabilities Net Minority Interest,1717382378.43,1637067663.82,978165959.23,598092478.58
Total Non Current Liabilities Net Minority Interest,789867879.44,771201380.17,324131733.16,57806904.48
Other Non Current Liabilities,,,335026.85,328907.51
Tradeand Other Payables Non Current,380961084.54,335317954.18,56614900.0,
Non Current Deferred Revenue,13301634.27,15654116.96,18120885.4,21044796.64
Non Current Deferred Taxes Liabilities,504400.45,692240.46,918132.57,334470.83
Long Term Debt And Capital Lease Obligation,395100760.18,419537068.57,248142788.34,36098729.5
Long Term Capital Lease Obligation,1346746.3,2247068.57,3192788.34,1648729.5
Long Term Debt,393754013.88,417290000.0,244950000.0,34450000.0
Current Liabilities,927514498.99,865866283.65,654034226.07,540285574.1
Other Current Liabilities,27538546.9,90930986.49,311610.53,884282.45
Current Debt And Capital Lease Obligation,658212813.75,516322410.88,357242707.95,336727209.59
Current Debt,344244499.36,291063477.63,197125833.33,236279188.89
Payables,235785506.08,252066122.04,290988343.79,190542003.27
Other Payable,100109708.52,93135074.17,90979871.29,52106028.27
Dividends Payable,3248886.9,3767826.9,3767826.9,3248886.9
Total Tax Payable,11209314.45,12147964.64,17643323.3,13569939.37
Accounts Payable,121217596.21,143015256.33,178597322.3,121617148.73
Total Assets,2793578628.65,3029517090.67,2469985012.21,2048896426.54
Total Non Current Assets,1872755165.61,1944851281.06,1464489594.07,1339940887.83
Other Non Current Assets,18288195.85,29598776.85,42250791.4,51432020.0
Non Current Deferred Assets,9115021.43,10154049.47,578956.25,
Non Current Deferred Taxes Assets,20733230.44,15880360.76,27729256.53,24812800.62
Investmentin Financial Assets,7280000.0,7280000.0,7280000.0,7280000.0
Available For Sale Securities,7280000.0,7280000.0,7280000.0,7280000.0
Long Term Equity Investment,,27920916.28,36851202.77,32513867.21
Goodwill And Other Intangible Assets,239621025.32,216914093.61,150616268.4,154723286.34
Other Intangible Assets,239621025.32,216914093.61,150616268.4,154723286.34
Net PPE,1577717692.57,1637103084.09,1199183118.72,1069178913.66
Accumulated Depreciation,-1189916568.83,-1076430443.32,-965754904.22,-878598843.73
Gross PPE,2767634261.4,2713533527.41,2164938022.94,1947777757.39
Construction In Progress,33096209.22,60960398.29,258138228.29,204466973.59
Other Properties,59037889.93,72825835.34,59497653.99,54424689.43
Machinery Furniture Equipment,1512294592.41,1363476337.48,938213110.85,840004054.47
Buildings And Improvements,,,,
Properties,1163205569.84,1216270956.3,909089029.81,848882039.9
Current Assets,920823463.04,1084665809.61,1005495418.14,708955538.71
Other Current Assets,29482906.55,19735898.94,12732978.4,12328343.53
Prepaid Assets,32299476.67,47190140.91,37710781.63,31094668.42
Inventory,322032072.61,298990570.31,221470974.0,164825192.17
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,242389850.38,206953139.54,161036509.16,108811392.77
Work In Process,6312178.35,7954064.76,4376546.2,2367387.1
Raw Materials,73330043.88,84083366.01,56057918.64,53646412.3
Other Receivables,55802070.14,93751261.3,100276283.01,24393217.01
Accounts Receivable,174029671.89,209754391.3,201950934.45,182981957.15
Allowance For Doubtful Accounts Receivable,-16232239.95,-19031600.08,-18892482.63,-15012984.89
Gross Accounts Receivable,190261911.84,228785991.38,220843417.08,197994942.04
Cash Cash Equivalents And Short Term Investments,307177265.18,415243546.85,431353466.65,293332160.43
Cash And Cash Equivalents,307177265.18,415243546.85,431353466.65,293332160.43
Cash Equivalents,34795.72,2553.0,2571372.18,84752928.19
Cash Financial,307142469.46,415240993.85,428782094.47,208579232.24
