,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,11665010792.06,8403022286.94,7870352936.58,650341661.03
Repayment Of Debt,-10528620797.52,-8470159769.43,-6665760526.12,-1664045610.21
Issuance Of Debt,14091218928.81,11789924591.31,6843975150.94,3332003491.63
Capital Expenditure,-5538150829.94,-4003492547.65,-5516558842.19,-9965688255.65
End Cash Position,29455830548.95,13444711217.64,10001038812.02,7983904283.09
Beginning Cash Position,13444711217.64,10001038812.02,7983904283.09,8175335986.42
Effect Of Exchange Rate Changes,-370473427.27,387525345.81,132139998.6,160632550.21
Changes In Cash,16381592758.58,3056147059.81,1884994530.33,-352064253.54
Financing Cash Flow,1123541045.46,-3832190648.03,-3941383684.73,-1277807891.61
Net Other Financing Charges,2553043840.71,-4067078838.65,-1363806130.3,-1347332675.63
Cash Dividends Paid,-4968582636.54,-3084876631.26,-2755792179.25,-1598433097.4
Net Issuance Payments Of Debt,3562598131.29,3319764821.88,178214624.82,1667957881.42
Net Long Term Debt Issuance,3562598131.29,3319764821.88,178214624.82,1667957881.42
Long Term Debt Payments,-10528620797.52,-8470159769.43,-6665760526.12,-1664045610.21
Long Term Debt Issuance,14091218928.81,11789924591.31,6843975150.94,3332003491.63
Investing Cash Flow,-1945109908.88,-5518177126.75,-7560533563.71,-9690286278.61
Net Other Investing Changes,,,,-21193032.64
Net Investment Purchase And Sale,615194125.46,-1530522123.16,-2038001903.42,160433411.42
Sale Of Investment,21489989210.16,11972145024.2,2883327245.0,1612262626.48
Purchase Of Investment,-20874795084.7,-13502667147.36,-4921329148.42,-1451829215.06
Net Business Purchase And Sale,2902727868.2,,-22091789.01,-161477089.0
Sale Of Business,2902727868.2,,,
Purchase Of Business,,,-22091789.01,-161477089.0
Net PPE Purchase And Sale,-5463031902.54,-3987655003.59,-5500439871.28,-9668049568.39
Sale Of PPE,75118927.4,15837544.06,16118970.91,297638687.26
Purchase Of PPE,-5538150829.94,-4003492547.65,-5516558842.19,-9965688255.65
Operating Cash Flow,17203161622.0,12406514834.59,13386911778.77,10616029916.68
Change In Working Capital,-291879659.4,-970376052.79,127889773.92,-252937137.58
Change In Other Current Assets,-197904753.64,-44156932.49,232560344.31,44866817.55
Change In Payable,3797761790.71,767141307.65,1058302166.39,1182241300.29
Change In Inventory,-3662118123.51,-914170842.65,977626158.3,498861701.19
Change In Receivables,-229618572.96,-779189585.3,-2140598895.08,-1978906956.61
Other Non Cash Items,1162983379.1,-196376038.4,241503592.64,36296942.6
Depreciation And Amortization,3473881768.32,2782176203.25,2283570739.63,1693479388.73
Amortization Cash Flow,132413984.1,164533512.69,157861503.22,143807886.43
Depreciation,3341467784.22,2617642690.56,2125709236.41,1549671502.3
Gain Loss On Investment Securities,-8450919153.58,-791119956.58,-196039869.45,-958027638.55
Gain Loss On Sale Of PPE,65161087.86,42297636.78,45228738.64,20995309.52
Net Income From Continuing Operations,19333065892.26,9567739539.18,9700260033.27,8902610544.95
Cash Flowsfromusedin Operating Activities Direct,17203161622.0,12406514834.59,13386911778.77,10616029916.68
Taxes Refund Paid Direct,-2121096348.26,-1705738088.19,-603753041.92,-202224420.92
Classesof Cash Payments,-30794211829.64,-27926856981.01,-26594954323.6,-29913982944.43
Other Cash Paymentsfrom Operating Activities,-1939451380.29,-2098548911.18,-1713991425.78,-1703415787.05
Paymentson Behalfof Employees,-10450935927.56,-10752651632.33,-10692458333.04,-10044730321.71
Paymentsto Suppliersfor Goodsand Services,-18403824521.79,-15075656437.5,-14188504564.78,-18165836835.67
Classesof Cash Receiptsfrom Operating Activities,50118469799.9,42039109903.79,40585619144.29,40732237282.03
Other Cash Receiptsfrom Operating Activities,1027087659.72,1015938369.1,1227127258.49,770077559.58
Receiptsfrom Customers,49091382140.18,41023171534.69,39358491885.8,39962159722.45
