,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,489099490.0,489099490.0,490555850.0,448941998.0
Share Issued,489099490.0,489099490.0,490555850.0,448941998.0
Net Debt,,217969426.75,359986853.14,405482926.95
Total Debt,482734409.66,592896292.76,820201771.65,783401655.48
Tangible Book Value,813274070.91,749959172.99,662797541.64,678712309.87
Invested Capital,1417736313.4,1450481830.59,1649157983.37,1639642004.5
Working Capital,461900233.08,301121000.24,259388918.83,154291520.71
Net Tangible Assets,813274070.91,749959172.99,662797541.64,678712309.87
Capital Lease Obligations,11362325.07,431712.98,816455.53,852618.95
Common Stock Equity,970909162.57,917472301.73,831175362.8,892373540.53
Total Capitalization,1029471885.67,917472301.73,890175362.8,892373540.53
Total Equity Gross Minority Interest,971237058.34,917698945.75,832326866.06,894522934.8
Minority Interest,327895.77,226644.02,1151503.26,2149394.27
Stockholders Equity,970909162.57,917472301.73,831175362.8,892373540.53
Treasury Stock,,,50098836.66,50098836.66
Retained Earnings,-747931377.99,-800208530.28,-844985896.96,-451105951.64
Additional Paid In Capital,1206709072.39,1206709072.39,1212907422.31,995266976.35
Capital Stock,489099490.0,489099490.0,490555850.0,448941998.0
Common Stock,489099490.0,489099490.0,490555850.0,448941998.0
Total Liabilities Net Minority Interest,1218916744.89,1370354382.59,1616267256.77,1997748821.98
Total Non Current Liabilities Net Minority Interest,86596377.92,15432961.02,72927393.78,251420939.54
Other Non Current Liabilities,12144487.38,6230137.89,,
Tradeand Other Payables Non Current,,,,244060000.0
Non Current Deferred Revenue,4442786.34,8487135.92,12782007.7,5524570.24
Non Current Deferred Taxes Liabilities,84056.03,283974.23,328930.55,983750.35
Long Term Debt And Capital Lease Obligation,69925048.17,431712.98,59816455.53,852618.95
Long Term Capital Lease Obligation,11362325.07,431712.98,816455.53,852618.95
Long Term Debt,58562723.1,,59000000.0,
Current Liabilities,1132320366.97,1354921421.57,1543339862.99,1746327882.44
Other Current Liabilities,60088954.04,22993213.28,35423255.82,53226503.69
Current Debt And Capital Lease Obligation,412809361.49,592464579.78,760385316.12,782549036.53
Current Debt,388264427.73,533009528.86,758982620.57,747268463.97
Payables,653374423.1,737300230.45,744748255.71,896286473.98
Other Payable,55305752.56,52917281.51,53742105.42,70451932.72
Total Tax Payable,9163770.62,7816533.48,22534310.75,15959111.73
Accounts Payable,588904899.92,676566415.46,668471839.54,809875429.53
Total Assets,2190153803.23,2288053328.34,2448594122.83,2892271756.78
Total Non Current Assets,595933203.18,632010906.53,645865341.01,991652353.63
Other Non Current Assets,125763.01,489305.63,1513669.27,444247.94
Non Current Deferred Assets,25145359.31,5709544.09,8544364.92,9132100.68
Non Current Deferred Taxes Assets,39917868.87,37532213.55,36418155.55,31736011.99
Investmentin Financial Assets,,1635788.0,2721488.0,9707382.85
Available For Sale Securities,,1635788.0,2721488.0,9707382.85
Long Term Equity Investment,141380814.86,178920741.44,176852020.85,474887028.69
Goodwill And Other Intangible Assets,157635091.66,167513128.74,168377821.16,213661230.66
Other Intangible Assets,19835370.1,21817659.91,22682352.33,23637234.15
Goodwill,137799721.56,145695468.83,145695468.83,190023996.51
Net PPE,231728305.47,240210185.08,251437821.26,252084350.82
Accumulated Depreciation,-266030243.51,-236666379.1,-217214685.12,-192305444.34
Gross PPE,497758548.98,476876564.18,468652506.38,444389795.16
Construction In Progress,1418789.16,7394297.11,5471445.51,4851987.49
Other Properties,71691189.86,53623159.11,45730873.64,38036850.87
Machinery Furniture Equipment,173205667.47,164416205.47,166007284.74,150338054.31
Buildings And Improvements,,,,
Properties,251442902.49,251442902.49,251442902.49,251162902.49
Current Assets,1594220600.05,1656042421.81,1802728781.82,1900619403.15
Other Current Assets,8470877.96,7815058.3,4332819.88,12519146.1
Prepaid Assets,15136228.13,21112884.1,7900837.23,10628348.28
Inventory,388445169.49,512825562.01,507048443.22,590800093.7
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,,282266.1,710224.07
Finished Goods,208508678.3,290445928.67,222408057.14,247948895.99
Work In Process,15523397.01,25390352.65,33117758.96,28029788.76
Raw Materials,164413094.18,196989280.69,251240361.02,314111184.88
Other Receivables,146501525.68,275208926.27,276993772.07,442871603.43
Accounts Receivable,523403035.07,524039889.02,548457141.99,502014674.62
Allowance For Doubtful Accounts Receivable,-47777652.58,-40478159.9,-33907850.25,-30453464.45
Gross Accounts Receivable,571180687.65,564518048.92,582364992.24,532468139.07
Cash Cash Equivalents And Short Term Investments,512263763.72,315040102.11,457995767.43,341785537.02
Cash And Cash Equivalents,512263763.72,315040102.11,457995767.43,341785537.02
Cash Equivalents,143995278.57,112504754.28,184432046.87,92435053.72
Cash Financial,368268485.15,202535347.83,273563720.56,249350483.3
