,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,690073556.27,-1965585666.19,-6161508564.62,-3797523358.31
Repayment Of Debt,-10184940697.45,-12903070863.5,-12197345643.63,-13042914948.77
Issuance Of Debt,9342993461.94,12530551228.43,19026165238.58,11594982802.8
Capital Expenditure,-1569012873.85,-3825802840.76,-5963376966.22,-4304021053.1
End Cash Position,1674896558.76,1831148236.87,4024541676.69,3911177960.18
Beginning Cash Position,1831148236.87,4024541676.69,3911177960.18,8678782091.61
Effect Of Exchange Rate Changes,-15677478.39,-14860461.49,-2959448.78,3995462.67
Changes In Cash,-140574199.72,-2178532978.33,116323165.29,-4771599594.1
Financing Cash Flow,-1831407924.23,-2174015031.83,4801858298.19,-328949318.47
Net Other Financing Charges,-451590928.34,-767365841.72,-992251537.29,2028157942.49
Cash Dividends Paid,-537869760.38,-1034129555.04,-1034709759.47,-899439475.58
Net Issuance Payments Of Debt,-841947235.51,-372519635.07,6828819594.95,-1447932145.97
Net Long Term Debt Issuance,-841947235.51,-372519635.07,6828819594.95,-1447932145.97
Long Term Debt Payments,-10184940697.45,-12903070863.5,-12197345643.63,-13042914948.77
Long Term Debt Issuance,9342993461.94,12530551228.43,19026165238.58,11594982802.8
Investing Cash Flow,-568252705.61,-1864735121.07,-4487403534.5,-4949147970.42
Net Other Investing Changes,652360426.28,772310640.41,206909500.6,-80047830.44
Net Investment Purchase And Sale,183426319.87,335326563.82,15042607.42,-810690918.57
Sale Of Investment,183426319.87,1017293922.67,85846099.53,205346820.86
Purchase Of Investment,,-681967358.85,-70803492.11,-1016037739.43
Net Business Purchase And Sale,13199710.43,143472950.0,1210300741.83,186937040.53
Sale Of Business,13199710.43,143472950.0,1210300741.83,441764266.36
Purchase Of Business,,,,-254827225.83
Net PPE Purchase And Sale,-1417239162.19,-3115845275.3,-5919656384.35,-4245346261.94
Sale Of PPE,151773711.66,709957565.46,43720581.87,58674791.16
Purchase Of PPE,-1569012873.85,-3825802840.76,-5963376966.22,-4304021053.1
Operating Cash Flow,2259086430.12,1860217174.57,-198131598.4,506497694.79
Change In Working Capital,-1443861302.5,-559417159.44,-2981794290.77,-3734318606.74
Change In Other Current Assets,-30970302.27,-79944533.18,-47994449.77,82754412.65
Change In Payable,-181385858.22,969605975.47,-178727462.93,1589767737.92
Change In Inventory,-1297561302.09,-652578736.88,-719351925.84,-2249191262.55
Change In Receivables,66056160.08,-796499864.85,-2035720452.23,-3157649494.76
Other Non Cash Items,691701948.61,637063832.1,664256209.49,858302575.58
Depreciation And Amortization,1976682788.92,1480599264.18,1141729062.68,1194230385.48
Amortization Cash Flow,179944252.67,121355299.0,103543810.73,134125505.88
Depreciation,1796738536.25,1359243965.18,1038185251.95,1060104879.6
Gain Loss On Investment Securities,135316387.86,567073755.68,-274040607.99,-886381445.0
Gain Loss On Sale Of PPE,-693204.89,-382383899.47,47331498.15,18832889.12
Net Income From Continuing Operations,518225991.9,-319725091.94,764820196.76,2825400899.99
Cash Flowsfromusedin Operating Activities Direct,2259086430.12,1860217174.57,-198131598.4,506497694.79
Taxes Refund Paid Direct,-362138572.08,119669832.81,-881470282.97,-273277021.83
Classesof Cash Payments,-18202059035.56,-17222050170.12,-17813341195.89,-16108403701.94
Other Cash Paymentsfrom Operating Activities,-417803610.66,-573677520.4,-1283027519.58,-1083582994.57
Paymentson Behalfof Employees,-1401777857.09,-1312483573.31,-1365002253.3,-1182652113.9
Paymentsto Suppliersfor Goodsand Services,-16382477567.81,-15335889076.41,-15165311423.01,-13842168593.47
Classesof Cash Receiptsfrom Operating Activities,20823284037.76,18962597511.88,18496679880.46,16888178418.56
Other Cash Receiptsfrom Operating Activities,434638802.1,440578518.23,1176176745.78,544436697.1
Receiptsfrom Customers,20388645235.66,18522018993.65,17320503134.68,16343741721.46
