,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,49437358.59,203884699.86,-49608748.45,-68864500.65
Repayment Of Debt,-577110000.0,-1101291490.68,-1321200000.0,-981630000.0
Issuance Of Debt,497937420.0,899733087.06,1384368403.62,1016300000.0
Capital Expenditure,-26062763.74,-74755123.49,-50795569.65,-13599294.01
End Cash Position,92447214.03,137094572.6,105187138.34,159892209.43
Beginning Cash Position,137094572.6,105187138.34,159892209.43,228504554.43
Effect Of Exchange Rate Changes,-123072.43,558507.55,135168.43,-1068504.28
Changes In Cash,-44524286.14,31348926.71,-54840239.52,-67543840.72
Financing Cash Flow,-175860918.63,-294923144.59,-32713171.3,-37420808.96
Net Other Financing Charges,-11239552.42,-4010026.86,-28476836.26,-12214583.51
Cash Dividends Paid,-85448786.21,-89354714.11,-67404738.66,-59876225.45
Net Issuance Payments Of Debt,-79172580.0,-201558403.62,63168403.62,34670000.0
Net Long Term Debt Issuance,-79172580.0,-201558403.62,63168403.62,34670000.0
Long Term Debt Payments,-577110000.0,-1101291490.68,-1321200000.0,-981630000.0
Long Term Debt Issuance,497937420.0,899733087.06,1384368403.62,1016300000.0
Investing Cash Flow,55836510.16,47632247.95,-23313889.42,25142174.88
Net Other Investing Changes,2145440.1,6067384.78,-8212721.45,873013.7
Net Investment Purchase And Sale,78576995.95,116065383.17,35343371.65,47338392.88
Sale Of Investment,79411195.08,315987238.35,230202734.86,204720615.09
Purchase Of Investment,-834199.13,-199921855.18,-194859363.21,-157382222.21
Net Business Purchase And Sale,,,,-10000000.0
Purchase Of Business,,,,-10000000.0
Net PPE Purchase And Sale,-24885925.89,-74500520.0,-50444539.62,-13069231.7
Sale Of PPE,1176837.85,254603.49,351030.03,530062.31
Purchase Of PPE,-26062763.74,-74755123.49,-50795569.65,-13599294.01
Capital Expenditure Reported,,,,
Operating Cash Flow,75500122.33,278639823.35,1186821.2,-55265206.64
Change In Working Capital,-69901649.49,122511211.16,-181149047.69,-158502446.72
Change In Other Current Assets,-7260730.22,-9744617.74,-129000.12,2284328.27
Change In Payable,-39370338.44,72767874.65,4516036.11,176539187.21
Change In Inventory,-41793155.33,88699152.16,-173938972.52,-242911899.72
Change In Receivables,18522574.5,-29211197.91,-11597111.16,-94414062.48
Other Non Cash Items,2749863.84,9605323.88,3858340.09,14423092.88
Deferred Tax,,,,
Depreciation And Amortization,26885026.02,20589881.33,20616861.13,15907903.71
Amortization Cash Flow,3016619.78,1169459.81,903794.82,922593.61
Depreciation,23868406.24,19420421.52,19713066.31,14985310.1
Gain Loss On Investment Securities,4021042.95,2762607.55,8371264.2,-18876798.07
Gain Loss On Sale Of PPE,2453.23,16369.55,-122990.93,184749.67
Net Income From Continuing Operations,83761592.54,106796937.49,140622935.57,78613988.25
Cash Flowsfromusedin Operating Activities Direct,75500122.33,278639823.35,1186821.2,-55265206.64
Taxes Refund Paid Direct,-54496951.97,-74665511.4,3573333.33,33490197.21
Classesof Cash Payments,-1321320978.54,-1159391440.77,-1524934027.22,-1064150515.56
Other Cash Paymentsfrom Operating Activities,-135700418.44,-141729231.25,-128652044.47,-69731649.46
Paymentson Behalfof Employees,-213787836.84,-190057608.19,-207991048.5,-177095150.09
Paymentsto Suppliersfor Goodsand Services,-971832723.26,-827604601.33,-1188290934.25,-817323716.01
Classesof Cash Receiptsfrom Operating Activities,1451318052.84,1512696775.52,1522547515.09,975395111.71
Other Cash Receiptsfrom Operating Activities,54652294.49,17405326.72,23040696.61,13664175.72
Receiptsfrom Customers,1396665758.35,1495291448.8,1499506818.48,961730935.99
