,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1152562520.0,1152562520.0,1152562520.0,1152562520.0
Share Issued,1152562520.0,1152562520.0,1152562520.0,1152562520.0
Total Debt,1088009952.41,1827275168.19,765830299.87,225101163.38
Tangible Book Value,9328330804.33,9282659081.38,9976692413.96,5401023799.64
Invested Capital,10943645103.19,11998607810.83,11478769159.34,6518436030.79
Working Capital,4962363690.06,5806781452.87,7430339722.68,3565756636.12
Net Tangible Assets,9328330804.33,9282659081.38,9976692413.96,5401023799.64
Capital Lease Obligations,49442722.09,43125404.12,15958104.5,21855142.13
Common Stock Equity,10424373011.51,10339070204.04,10890829318.54,6368985706.94
Total Capitalization,10751392674.03,10816029755.44,11182278869.96,6495245258.34
Total Equity Gross Minority Interest,10797371411.77,10797151516.8,11328438685.27,6725058484.48
Minority Interest,372998400.26,458081312.76,437609366.73,356072777.54
Stockholders Equity,10424373011.51,10339070204.04,10890829318.54,6368985706.94
Other Equity Interest,,,,
Treasury Stock,364310076.87,314293427.55,364293598.94,100000342.78
Retained Earnings,6542138985.43,6317175783.05,6834510008.91,2341022791.12
Additional Paid In Capital,2566669963.36,2544905615.68,2447028799.07,2447028799.07
Capital Stock,1152562520.0,1152562520.0,1152562520.0,1152562520.0
Common Stock,1152562520.0,1152562520.0,1152562520.0,1152562520.0
Total Liabilities Net Minority Interest,3260277892.31,3812003465.59,3317786733.87,2346938373.32
Total Non Current Liabilities Net Minority Interest,630758591.19,784660804.7,623273640.84,455889080.11
Other Non Current Liabilities,32534340.21,,,
Tradeand Other Payables Non Current,29647329.71,32191867.81,30853014.27,30355225.26
Non Current Deferred Revenue,153582385.37,175486002.97,194589417.6,214741629.07
Non Current Deferred Taxes Liabilities,38532151.29,56897978.4,90423553.05,62677532.25
Long Term Debt And Capital Lease Obligation,376462384.61,520084955.52,307407655.92,148114693.53
Long Term Capital Lease Obligation,49442722.09,43125404.12,15958104.5,21855142.13
Long Term Debt,327019662.52,476959551.4,291449551.42,126259551.4
Current Liabilities,2629519301.12,3027342660.89,2694513093.03,1891049293.21
Other Current Liabilities,223711701.85,271656991.54,273349457.88,26053269.69
Current Debt And Capital Lease Obligation,711547567.8,1307190212.67,458422643.95,76986469.85
Current Debt,192252429.16,1182578055.39,296490289.38,23190772.45
Payables,1679163765.74,1436436444.64,1952709635.6,1656306850.59
Other Payable,279003257.18,352540250.87,399545573.14,222444420.17
Dividends Payable,0.0,3430525.0,361263.0,
Total Tax Payable,220588317.3,192274613.68,412705406.6,99384230.34
Accounts Payable,1179572191.26,888191055.09,1140097392.86,1334478200.08
Total Assets,14057649304.08,14609154982.39,14646225419.14,9071996857.8
Total Non Current Assets,6465766312.9,5775030868.63,4521372603.43,3615190928.47
Other Non Current Assets,195202234.83,169704234.26,140856037.22,52494203.39
Non Current Deferred Assets,136130579.25,69235454.47,7009413.43,6913073.25
Non Current Deferred Taxes Assets,436028527.91,395455296.99,136447676.21,91446271.99
Investmentin Financial Assets,114142382.18,257506084.28,448879817.24,276666620.13
Available For Sale Securities,114142382.18,257506084.28,448879817.24,276666620.13
Long Term Equity Investment,885478709.26,994269028.38,957835552.32,698407890.39
Investment Properties,36850792.42,30217666.44,32383681.89,35750748.52
Goodwill And Other Intangible Assets,1096042207.18,1056411122.66,914136904.58,967961907.3
Other Intangible Assets,619348937.15,580744584.32,573800973.08,581409742.83
Goodwill,476693270.03,475666538.34,340335931.5,386552164.47
Net PPE,3565390612.87,2801731714.15,1883323253.54,1485049946.5
Accumulated Depreciation,-1655532581.42,-1485772961.14,-1265635076.76,-1098614642.18
Gross PPE,5220923194.29,4287504675.29,3148958330.3,2583664588.68
Construction In Progress,536876187.98,357799931.39,41624031.99,36123371.05
Other Properties,241383318.37,110297214.15,83144650.06,81155795.78
Machinery Furniture Equipment,2613893850.08,2293030451.78,1996741575.15,1538561023.3
Buildings And Improvements,,,,
Properties,1828769837.86,1526377077.97,1027448073.1,927824398.55
Current Assets,7591882991.18,8834124113.76,10124852815.71,5456805929.33
Other Current Assets,230165335.69,261556713.54,142590385.7,47051469.35
Hedging Assets Current,6819840.0,58200.0,,
Prepaid Assets,357818153.05,242062551.69,435400799.89,241625934.67
Inventory,1645325875.23,2231408559.77,3153671547.05,1212806201.76
Inventories Adjustments Allowances,0.0,0.0,,0.0
Finished Goods,779437344.59,1222465203.54,1507597355.68,637317656.19
Work In Process,182217687.67,210554827.02,315996354.13,93037960.48
Raw Materials,683670842.97,798388529.21,1330077837.24,482450585.09
Other Receivables,777523379.18,1158080998.68,1824548039.38,963908976.45
Accounts Receivable,938944185.97,962952989.57,920841091.6,552174001.26
Allowance For Doubtful Accounts Receivable,-136393188.14,-143305091.73,-141948045.22,-95272009.45
Gross Accounts Receivable,1075337374.11,1106258081.3,1062789136.82,647446010.71
Cash Cash Equivalents And Short Term Investments,3635286222.06,3978004100.51,3647800952.09,2439239345.84
Other Short Term Investments,1705882836.32,593461778.08,695160138.98,1503653502.61
Cash And Cash Equivalents,1929403385.74,3384542322.43,2952640813.11,935585843.23
Cash Equivalents,148246870.6,47709106.23,168907687.02,147364686.72
Cash Financial,1781156515.14,3336833216.2,2783733126.09,788221156.51
