,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,652728961.0,652728961.0,652728961.0,652728961.0
Share Issued,652728961.0,652728961.0,652728961.0,652728961.0
Total Debt,1524845.03,3092723.2,3890179.0,5637157.41
Tangible Book Value,9605697017.6,9181767270.0,8935004573.12,8025140909.11
Invested Capital,9625224098.54,9201167353.8,8955898143.34,8045480771.78
Working Capital,5188804378.0,5839532955.89,5796080799.11,5376331326.25
Net Tangible Assets,9605697017.6,9181767270.0,8935004573.12,8025140909.11
Capital Lease Obligations,339895.71,965487.57,1898971.85,3668256.09
Common Stock Equity,9625224098.54,9201167353.8,8955898143.34,8045480771.78
Total Capitalization,9625224098.54,9201167353.8,8955898143.34,8045480771.78
Total Equity Gross Minority Interest,12731370887.6,12189905688.11,11929347459.23,10743665242.02
Minority Interest,3106146789.06,2988738334.31,2973449315.89,2698184470.24
Stockholders Equity,9625224098.54,9201167353.8,8955898143.34,8045480771.78
Retained Earnings,5413905333.2,5272649569.41,4591919288.91,4156809472.61
Additional Paid In Capital,4746467313.5,4746467313.5,4746467313.5,4746467313.5
Capital Stock,652728961.0,652728961.0,652728961.0,652728961.0
Common Stock,652728961.0,652728961.0,652728961.0,652728961.0
Total Liabilities Net Minority Interest,3663685405.58,3675446503.27,3511368837.79,3237244837.37
Total Non Current Liabilities Net Minority Interest,2699829383.09,2642153330.58,2676022610.06,2420781903.49
Other Non Current Liabilities,304616174.78,360058894.01,497588064.89,357760352.3
Tradeand Other Payables Non Current,87386768.6,87467157.02,97364275.55,100416787.93
Non Current Deferred Taxes Liabilities,2307486544.0,2193661791.98,2079171297.77,1958936507.17
Long Term Debt And Capital Lease Obligation,339895.71,965487.57,1898971.85,3668256.09
Long Term Capital Lease Obligation,339895.71,965487.57,1898971.85,3668256.09
Long Term Debt,,,,
Current Liabilities,963856022.49,1033293172.69,835346227.73,816462933.88
Other Current Liabilities,,3714.75,10617.89,3686.69
Current Debt And Capital Lease Obligation,1184949.32,2127235.63,1991207.15,1968901.32
Current Debt,,,,
Payables,953717607.42,970449393.15,822289659.62,814399995.02
Other Payable,201886733.8,156042684.75,157866882.93,143654672.49
Dividends Payable,313725.0,313725.0,313725.0,313725.0
Total Tax Payable,69688960.67,98861391.02,45279374.73,102433758.42
Accounts Payable,681828187.95,715231592.38,618829676.96,567997839.11
Total Assets,16395056293.18,15865352191.38,15440716297.02,13980910079.39
Total Non Current Assets,10242395892.69,8992526062.8,8809289270.18,7788115819.26
Other Non Current Assets,807738873.72,857395784.96,961685563.13,997445020.95
Non Current Deferred Taxes Assets,24834666.25,18280859.45,18584982.32,13933593.85
Investmentin Financial Assets,741005042.77,668080800.71,637180938.32,573771130.36
Available For Sale Securities,741005042.77,668080800.71,637180938.32,573771130.36
Investment Properties,326719493.13,338195223.7,349707391.24,361229318.5
Goodwill And Other Intangible Assets,19527080.94,19400083.8,20893570.22,20339862.67
Other Intangible Assets,19527080.94,19400083.8,20893570.22,20339862.67
Net PPE,8322570735.88,7091173310.18,6821236824.95,5821396892.93
Accumulated Depreciation,-990085049.07,-849007083.28,-1236236666.9,-1070660953.2
Gross PPE,9312655784.95,7940180393.46,8057473491.85,6892057846.13
Construction In Progress,1493605659.41,5650187891.53,5207595627.48,4357026850.05
Other Properties,170782751.89,134466024.2,54921790.34,46617175.52
Machinery Furniture Equipment,6459191577.84,969515544.37,1486279855.09,1220503221.36
Buildings And Improvements,,,,
Properties,1189075795.81,1186010933.36,1308676218.94,1267910599.2
Current Assets,6152660400.49,6872826128.58,6631427026.84,6192794260.13
Other Current Assets,82548850.51,61411781.06,106529782.7,20658985.48
Prepaid Assets,15509593.86,32993390.76,32584772.15,27723527.0
Inventory,729709449.53,510802616.19,663729364.39,458652345.57
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,197755027.55,98632310.6,97706511.48,75776725.04
Finished Goods,412330200.96,296610159.33,430708436.82,257401105.95
Work In Process,40967395.33,37563612.54,44940514.54,42694396.65
Raw Materials,78656825.69,77996533.72,90373901.55,82780117.93
Other Receivables,46870429.55,19454044.44,52972549.1,27101770.12
Accounts Receivable,927873178.98,1365992618.38,987309101.58,785648294.86
Allowance For Doubtful Accounts Receivable,,-105169474.65,-102263188.07,-90741298.58
Gross Accounts Receivable,,1471162093.03,1089572289.65,876389593.44
Cash Cash Equivalents And Short Term Investments,4350148898.06,4882171677.75,4788301456.92,4873009337.1
Other Short Term Investments,85870615.88,,,
Cash And Cash Equivalents,4264278282.18,4882171677.75,4788301456.92,4873009337.1
Cash Equivalents,6099469.04,503528.6,554740.8,1369275.87
Cash Financial,4257674404.44,4881668149.15,4787746716.12,4871640061.23
