来源,时间,标题
财联社,2026-01-30 18:11:06,商务部新闻发言人就中英经贸合作成果文件答记者问
财联社,2026-01-30 18:09:17,同洲电子：2025年净利同比预增151.40%-230.42%
财联社,2026-01-30 18:07:38,天齐锂业：泰利森第三期化学级锂精矿扩产项目于2026年1月30日生产出首批符合标准的化学级锂精矿产品
财联社,2026-01-30 18:06:53,航天发展：预计2025年净亏损10亿元-16.5亿元
财联社,2026-01-30 18:04:58,香港证监会：截至2025年12月31日 有16宗上市申请的审理流程已暂停
财联社,2026-01-30 18:01:51,证监会核准法巴资管成为浦银安盛主要股东
财联社,2026-01-30 17:59:23,晶瑞电材：预计2025年净利润1.20亿元-1.60亿元 同比扭亏为盈
财联社,2026-01-30 17:58:07,葡萄牙2025年经济增长1.9%
财联社,2026-01-30 17:56:48,2025年我国基本医保统筹基金收入约2.95万亿元
财联社,2026-01-30 17:54:08,纳芯微：2025年预亏2亿元-2.5亿元
财联社,2026-01-30 17:10:45,乌克兰对华硅锰钢丝作出反规避终裁
财联社,2026-01-30 17:09:43,荷兰监管机构对美国在线游戏平台罗布乐思启动调查
财联社,2026-01-30 17:09:13,中国工商银行（澳门）股份有限公司原董事长姜壹盛被开除党籍和公职
财联社,2026-01-30 17:08:25,*ST松发：预计2025年净利润24亿元-27亿元 同比扭亏为盈
财联社,2026-01-30 17:07:14,三六零：拟使用不超过80亿元闲置自有资金进行委托理财
财联社,2026-01-30 17:06:16,广东明珠：2025年净利同比预增2908.49%-3577.04%
财联社,2026-01-30 17:06:10,三六零：预计2025年净利润2.13亿元-3.18亿元 同比扭亏为盈
财联社,2026-01-30 17:05:12,嘉实原油LOF、嘉实黄金LOF：自2月2日起暂停大额申购、大额定期定额投资业务 每日累计投资限额不超过5元
财联社,2026-01-30 17:04:50,上海：支持工业、电子信息、能源电力、交通运输等线下消费商业设施设备更新项目申报
财联社,2026-01-30 17:03:10,恒瑞医药：注射用磷罗拉匹坦帕洛诺司琼的药品上市许可申请获受理
财联社,2026-01-30 17:02:22,外汇局：12月我国国际收支货物和服务贸易出口4276亿美元 进口3204亿美元
财联社,2026-01-30 16:11:01,两部门：各地可适当调整省内煤电中长期市场交易价格下限 不再统一执行基准价下浮20%的下限
财联社,2026-01-30 16:09:41,泰恩康：全资子公司收到尼莫地平注射液药品注册证书
财联社,2026-01-30 16:09:06,香港恒生指数收跌2.08% 恒生科技指数跌2.1%
财联社,2026-01-30 16:06:40,两部门：对633号文件出台后开工建设的抽水蓄能电站 实行“一省一价”
财联社,2026-01-30 16:06:32,三棵树：2025年净利同比预增128.96%-189.21%
财联社,2026-01-30 16:05:48,两部门：可靠容量补偿机制建立后 相关煤电、气电、电网侧独立新型储能等机组不再执行原有容量电价
财联社,2026-01-30 16:05:28,兆丰股份：2025年净利同比预增136.26%-164.89%
财联社,2026-01-30 16:04:24,两部门：建立电网侧独立新型储能容量电价机制
财联社,2026-01-30 16:03:55,两部门：完善电力市场交易和价格机制 鼓励供需双方在中长期合同中签订随市场供需、发电成本变化的灵活价格机制
财联社,2026-01-30 16:03:30,两部门：完善抽水蓄能容量电价机制
财联社,2026-01-30 16:03:12,航天动力：预计2025年净亏损1.78亿元-2.10亿元
财联社,2026-01-30 16:02:47,欧洲主要股指开盘多数上涨
财联社,2026-01-30 16:01:29,两部门：将通过容量电价回收煤电机组固定成本的比例提升至不低于50%
财联社,2026-01-30 16:01:11,两部门：新能源装机占比高、可靠容量需求大的地区 应加快建立可靠容量补偿机制
财联社,2026-01-30 16:00:37,甘肃能源：甘肃庆阳东数西算产业园区绿电聚合试点项目一期工程项目首批风电机组并网发电
财联社,2026-01-30 15:57:46,今飞凯达：收到国际知名汽车制造商供应商定点通知
财联社,2026-01-30 15:55:45,智飞生物：冻干乙型脑炎灭活疫苗（人二倍体细胞）临床试验申请获受理
财联社,2026-01-30 15:54:11,工信部：2025年我国规模以上互联网和相关服务企业完成互联网业务收入20473亿元 同比增长1.5%
财联社,2026-01-30 15:18:31,万科：整体经营形势依然十分严峻 全力推进改革化险工作
财联社,2026-01-30 15:17:09,1月30日涨停分析
财联社,2026-01-30 15:16:02,国债期货收盘多数上涨
财联社,2026-01-30 15:14:19,财政部：2025年证券交易印花税增长57.8%
财联社,2026-01-30 15:12:11,罗罗：达美航空订购30台遄达XWB-84 EP发动机和32台遄达7000发动机
财联社,2026-01-30 15:10:08,落实《南海各方行为宣言》第25次高官会在菲律宾宿务举行
财联社,2026-01-30 15:04:49,我国已完成超380万份船员电子证书生成推送工作
财联社,2026-01-30 15:03:52,国内商品期货多数收跌 钯、铂跌超11%
财联社,2026-01-30 15:03:32,收评：A股1月收官！沪指本月涨3.76%站稳4100点 科创50指数涨超12%
财联社,2026-01-30 15:02:32,中共中央政治局召开会议 中共中央总书记习近平主持会议
财联社,2026-01-30 15:01:30,国家邮政局：2025年直营制快递企业进村率超过90% 全行业包装标准化率达86.8%
财联社,2026-01-30 14:55:29,1月私募打新获配3.38亿 幻方、九坤等百亿量化成主力
财联社,2026-01-30 14:55:04,阿里加入春节档红包大战 千问APP春节期间将向用户推红包福利
财联社,2026-01-30 14:53:56,【电报解读】SpaceX发布空间态势感知系统，机构称低轨卫星将呈现倍数级增长，太空态势感知的重要性将持续提升，这家公司称将适时布局开展商业太空态势感知能力建设
财联社,2026-01-30 14:16:05,国家能源局：2025年底多晶硅、硅片价格较年度最低点分别提高52.0%、35.6%
财联社,2026-01-30 14:13:35,伊朗总统称美若寻求谈判须停止挑衅
财联社,2026-01-30 14:10:48,《可再生能源消费最低比重目标和可再生能源电力消纳责任权重制度实施办法》拟于近期印发
财联社,2026-01-30 14:08:39,瑞穗：若沃什当选美联储主席 市场将感受到持续的降息压力
财联社,2026-01-30 14:06:59,SpaceX发布空间态势感知系统Stargaze
财联社,2026-01-30 14:03:13,国家能源局：2026年将通过立新规、强新序、建新制进一步规范电力零售市场
财联社,2026-01-30 14:02:28,国家能源局：将出台多用户绿电直连政策
财联社,2026-01-30 13:58:47,建设银行：自2月2日9:10起个人黄金积存业务定期积存起点金额上调至1500元
财联社,2026-01-30 13:57:30,国际航协：2025年全球航空货运需求创历史新高 预计2026年全球航空货运增长将小幅放缓至2.4%
财联社,2026-01-30 13:56:29,英国首相斯塔默抵达上海继续中国之行
财联社,2026-01-30 13:52:13,国家能源局：“十五五”时期将大力培育氢能未来产业
财联社,2026-01-30 13:46:13,机构：Meta Ray-Ban Display智能眼镜零部件订单两度上修 预估带动2026年全球AR眼镜出货达95万台
财联社,2026-01-30 13:41:01,星巴克计划2028财年全球净新增超2000家门店
财联社,2026-01-30 13:20:56,飞天茅台批价回升至1700元 部分市场两日跳涨150元/瓶
财联社,2026-01-30 13:20:24,液冷服务器概念震荡走强 科创新源20cm涨停
财联社,2026-01-30 13:19:48,中国公民东京街头遭抢劫 我使馆要求日方尽快破案
财联社,2026-01-30 13:16:16,人形机器人概念午后活跃 天奇股份5天3板
财联社,2026-01-30 13:13:32,中国海警位中国黄岩岛领海及周边区域执法巡查
财联社,2026-01-30 13:06:11,沪深两市成交额连续第24个交易日突破2万亿 较上一日此时缩量超1000亿
财联社,2026-01-30 13:03:48,德总理强调欧洲不是美国的附庸
财联社,2026-01-30 13:02:45,算力股大幅走强 创业板指涨逾1%
财联社,2026-01-30 13:01:15,古巴外长强烈谴责美国升级对古封锁行动
财联社,2026-01-30 13:01:07,【盘中宝·独家】该公司部分产品价格最高上调50%
财联社,2026-01-30 12:52:14,先为达生物埃诺格鲁肽注射液获批用于成人2型糖尿病患者血糖控制
财联社,2026-01-30 12:51:04,伦交所、工商银行签署深化战略合作备忘录
财联社,2026-01-30 12:50:09,徐发启犯罪集团案一审宣判
财联社,2026-01-30 12:49:48,中央企业安全生产工作视频会议召开
财联社,2026-01-30 12:33:40,部分产品涨价达6000元/吨  白羽肉鸡迎来春节行情
财联社,2026-01-30 12:27:15,去年我国能源重点项目完成投资额首次超过3.5万亿元
财联社,2026-01-30 12:21:49,恒隆集团：2025年股东应占基本纯利上升3%至24.07亿港元
财联社,2026-01-30 12:20:03,中使馆再提醒中国公民避免前往日本
财联社,2026-01-30 12:17:23,日本铂金期货触发熔断机制
财联社,2026-01-30 12:13:42,【盘中宝·数据】CPO+农业+存储芯片+有色+AI应用，五大热点一周以来获融资净买入情况（附表）
财联社,2026-01-30 12:13:24,深圳：2025年GDP同比增长5.5%
财联社,2026-01-30 12:09:13,《自然》：气候变化或致非洲2050年前新增50万疟疾死亡病例
财联社,2026-01-30 12:06:01,宇树科技王兴兴：谁能把机器人用的大模型做出来 谁就是全世界最厉害的AI公司和机器人公司
财联社,2026-01-30 12:05:57,中国人寿财险公司增资至278亿 增幅约48%
财联社,2026-01-30 12:02:59,财联社1月30日午间新闻精选
财联社,2026-01-30 12:00:35,古巴官方辟谣燃油断供传言：加油站未暂停销售
财联社,2026-01-30 12:00:26,港股午评：恒生指数跌1.78% 恒生科技指数跌1.79%
财联社,2026-01-30 11:55:25,南山智尚：公司正积极与商业航天、卫星制造及配套企业开展相关产品的对接工作
财联社,2026-01-30 11:55:08,伊朗外长谴责美以“破坏性干涉行为”致地区威胁升级
财联社,2026-01-30 11:46:54,天益医疗：子公司产品取得医疗器械注册证
财联社,2026-01-30 11:45:28,天阳科技：一致行动人连云港皓宏智业创业投资合伙企业（有限合伙）解除质押700万股
财联社,2026-01-30 11:44:56,东江环保：子公司雄风环保主营稀贵金属回收利用业务
财联社,2026-01-30 11:41:41,日本东京1月物价同比上涨2% 米价居高不下
财联社,2026-01-30 11:40:59,1月30日午间涨停分析
财联社,2026-01-30 11:40:04,南京：2025年地区生产总值19428.78亿元 同比增长5.2%
财联社,2026-01-30 11:33:08,国内期货主力合约多数下跌 铂、碳酸锂跌近10%
财联社,2026-01-30 11:31:54,午评：创业板指V型反弹涨0.8% 算力硬件概念逆势爆发
财联社,2026-01-30 11:31:12,【掘金行业龙头】数据中心+商业航天+业绩预增，海底数据中心产品全面进入商业化阶段，2025年净利预增超3.8倍，这家公司联合中标海上回收船项目
财联社,2026-01-30 11:28:21,俄罗斯莫斯科遭遇近200年来最强暴雪
财联社,2026-01-30 11:27:08,杭州一宅地溢价近20%成交
财联社,2026-01-30 11:19:57,受降雪、道路结冰等影响 10省区100个路段封闭管控
财联社,2026-01-30 11:17:52,特朗普听取多种打击伊朗方案
财联社,2026-01-30 11:16:32,春节假期全国租车出行日均订单量同比将有两位数增长
财联社,2026-01-30 11:06:29,多品牌金饰克价大幅回调
财联社,2026-01-30 11:06:07,【风口研报·公司】康宁再接Meta大额订单，分析师强call公司作为康宁高端线主供，且产品已间接切入英伟达CPO产业链，外溢效应有望大幅刺激未来几年业绩
财联社,2026-01-30 11:04:38,今年交通运输部将建设100个前瞻性部级科技创新平台
财联社,2026-01-30 11:02:35,【盘中宝】预订不断走热，业界预计今年该市场有望刷新“最热”纪录，这家公司是细分领域头部品牌
财联社,2026-01-30 10:53:39,国家能源局：截至去年底我国新型储能装机较2024年底增长84%
财联社,2026-01-30 10:46:21,交通运输部：今年春运客流将呈现“五个新高”
财联社,2026-01-30 10:44:59,工信部：2025年我国电子信息制造业生产快速增长
财联社,2026-01-30 10:42:55,商业航天概念局部回暖 长江通信涨停
财联社,2026-01-30 10:40:24,美国交通部撤销禁止美航空公司航班飞往委内瑞拉命令
财联社,2026-01-30 10:40:01,2025年我国可再生能源发电装机占比超过六成
财联社,2026-01-30 10:39:42,沪深两市成交额突破1.5万亿 较上一日此时缩量超600亿
财联社,2026-01-30 10:32:11,国内贵金属、有色金属期货大跌
财联社,2026-01-30 10:32:02,深成指跌逾2% 近130股跌超9%
财联社,2026-01-30 10:31:45,1月30日电池级碳酸锂早盘市场价格为159500元/吨 较上一工作日下调5400元
财联社,2026-01-30 10:24:20,美国ITC发布对充电电池及其组件的337部分终裁
财联社,2026-01-30 10:22:54,独家|平头哥PPU芯片总出货量达数十万片 超过寒武纪
同花顺,2026-01-30 10:11:23,联创电子：预计2025年净利润为-5.8亿元至-8.6亿元
同花顺,2026-01-30 10:10:59,2025年新疆粮食总产量实现连续八年增产
同花顺,2026-01-30 10:10:43,山西焦煤：预计2025年净利润同比下降56.30%-68.75%
同花顺,2026-01-30 10:10:27,星网宇达：预计2025年净利润亏损1亿元–1.5亿元
同花顺,2026-01-30 10:10:07,上海谊众：三名股东拟合计减持股份不超2.997%
同花顺,2026-01-30 10:09:00,中洲控股：预计2025年净利润亏损8.3亿元 同比减亏
同花顺,2026-01-30 10:08:36,同洲电子：预计2025年净利润为1.75亿元至2.3亿元，同比增长151.40%-230.42%
同花顺,2026-01-30 10:07:56,创业慧康：预计2025年归母净利润为亏损3.05亿元至4.05亿元
同花顺,2026-01-30 10:07:43,世联行：预计2025年净利润为-4.8亿元至-7.2亿元
同花顺,2026-01-30 10:07:20,天健集团：预计2025年净利润同比下降58.91%-70.67%
同花顺,2026-01-30 10:07:05,中国武夷：预计2025年净利润亏损3.5亿元-4.55亿元
同花顺,2026-01-30 10:06:44,陕西金叶：预计2025年净利润亏损2.1亿元-2.5亿元
同花顺,2026-01-30 10:06:32,二六三：多名高管拟减持股份
同花顺,2026-01-30 10:06:25,航天发展：预计2025年净利润亏损10亿元–16.5亿元
同花顺,2026-01-30 10:06:02,胜利精密：预计2025年亏损3.65亿元-7.3亿元
同花顺,2026-01-30 10:05:24,江航装备：预计2025年净利润同比减少48.17%至60.13%
同花顺,2026-01-30 10:04:27,信濠光电：预计2025年净利润为-2.5亿元至-3.25亿元
同花顺,2026-01-30 10:04:05,大烨智能：预计2025年净利润为-1.8亿元至-2.1亿元
同花顺,2026-01-30 10:02:54,建科院：预计2025年净利润为亏损7500万元-9800万元
财联社,2026-01-30 09:46:24,交通运输部：2025年预计完成交通固定资产投资超3.6万亿元
财联社,2026-01-30 09:45:39,深成指跌逾1% 下跌个股近3000只
财联社,2026-01-30 09:43:56,影视板块震荡拉升 横店影视2连板
财联社,2026-01-30 09:42:34,农业概念快速走强 农发种业3天2板
财联社,2026-01-30 09:39:00,油气概念反复活跃 石化油服3连板
财联社,2026-01-30 09:37:09,存储芯片概念反复活跃 恒烁股份涨超10%续创历史新高
财联社,2026-01-30 09:36:46,越南FPT集团成立半导体芯片封装测试厂
财联社,2026-01-30 09:34:55,旅游概念表现活跃 凯撒旅业涨停
财联社,2026-01-30 09:33:12,煤炭板块逆势走强 盘江股份一字涨停
财联社,2026-01-30 09:32:47,2025年全国规模以上文化及相关产业企业营业收入增长7.4%
财联社,2026-01-30 09:30:20,贵金属板块集体低开 中金黄金等多股跌停
