,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,159687204.07,31349620.69,57588511.4,-14551707.03
Repayment Of Debt,-11565238.1,-7301041.97,-7839207.65,-2327478.64
Issuance Of Debt,11070000.0,9450000.0,3000000.0,6750000.0
Capital Expenditure,-31440891.2,-29635279.73,-19569705.84,-34270387.23
End Cash Position,355971036.97,290615428.88,588123034.73,161480678.93
Beginning Cash Position,290615428.88,588123034.73,161480678.93,129738171.07
Changes In Cash,65355608.09,-297507605.85,426642355.8,31742507.86
Financing Cash Flow,-26213195.09,-198332985.2,379973091.88,-64535189.14
Net Other Financing Charges,7949843.57,-1922046.95,385426380.84,-1446279.33
Cash Dividends Paid,-33667800.56,-198559896.28,-614081.31,-67511431.17
Net Issuance Payments Of Debt,-495238.1,2148958.03,-4839207.65,4422521.36
Net Long Term Debt Issuance,-495238.1,2148958.03,-4839207.65,4422521.36
Long Term Debt Payments,-11565238.1,-7301041.97,-7839207.65,-2327478.64
Long Term Debt Issuance,11070000.0,9450000.0,3000000.0,6750000.0
Investing Cash Flow,-99559292.09,-160159521.07,-30488953.32,76559016.8
Net Other Investing Changes,68778107.85,-296347.2,,
Net Investment Purchase And Sale,-137604565.74,-130444461.84,-10939847.48,110135489.03
Sale Of Investment,699760350.93,820669538.16,694861152.52,1003922489.03
Purchase Of Investment,-837364916.67,-951114000.0,-705801000.0,-893787000.0
Net Business Purchase And Sale,526300.0,,,
Sale Of Business,526300.0,,,
Purchase Of Business,,,,
Net PPE Purchase And Sale,-31259134.2,-29418712.03,-19549105.84,-33576472.23
Sale Of PPE,181757.0,216567.7,20600.0,693915.0
Purchase Of PPE,-31440891.2,-29635279.73,-19569705.84,-34270387.23
Capital Expenditure Reported,,,,
Operating Cash Flow,191128095.27,60984900.42,77158217.24,19718680.2
Change In Working Capital,60964656.87,-97521496.74,-137183791.63,-204944517.86
Change In Other Current Assets,3026865.24,11085085.96,-1691985.33,-2350972.62
Change In Payable,9430916.49,-130877034.78,92417412.95,29692283.5
Change In Inventory,26490012.88,-22324119.83,-29532107.71,13944605.14
Change In Receivables,22016862.26,44594571.91,-198377111.54,-246230433.88
Other Non Cash Items,1028837.4,709941.2,1148850.96,1451326.48
Deferred Tax,,,,
Depreciation And Amortization,34334755.76,32624208.47,29306562.67,27978856.34
Amortization Cash Flow,2955726.11,4262032.65,7129054.36,7228910.38
Depreciation,31379029.65,28362175.82,22177508.31,20749945.96
Gain Loss On Investment Securities,-21425039.87,-23867134.15,368340.0,-2062406.81
Gain Loss On Sale Of PPE,15162777.19,14087239.06,10703853.81,-328588.82
Net Income From Continuing Operations,83425940.45,117291554.06,101010877.71,181405540.9
Cash Flowsfromusedin Operating Activities Direct,191128095.27,60984900.42,77158217.24,19718680.2
Taxes Refund Paid Direct,-33877862.4,13233982.28,-65275884.84,-60736331.92
Classesof Cash Payments,-356865553.49,-455585729.39,-384146688.46,-454242235.54
Other Cash Paymentsfrom Operating Activities,-118052162.93,-123205790.56,-97744731.78,-115906206.76
Paymentson Behalfof Employees,-123443698.45,-118698714.39,-111686953.52,-104313902.54
Paymentsto Suppliersfor Goodsand Services,-115369692.11,-213681224.44,-174715003.16,-234022126.24
Classesof Cash Receiptsfrom Operating Activities,581871511.16,503336647.53,526580790.54,534697247.66
Other Cash Receiptsfrom Operating Activities,35221712.89,51593731.85,43492247.14,31386469.32
Receiptsfrom Customers,546649798.27,451742915.68,483088543.4,503310778.34
