,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-875140.166496,-2281069.5625,20396974.985,11630.244832
Tax Rate For Calcs,0.018213,0.25,0.25,0.026586
Normalized EBITDA,859665531.76,689640933.09,455485440.08,579732357.96
Total Unusual Items,-48050988.6,-9124278.25,81587899.94,437449.67
Total Unusual Items Excluding Goodwill,-48050988.6,-9124278.25,81587899.94,437449.67
Net Income From Continuing Operation Net Minority Interest,402569335.69,348032472.42,145420319.09,383067840.44
Reconciled Depreciation,371966401.86,303487472.64,253701453.63,174463364.59
Reconciled Cost Of Revenue,538519341.59,404482752.66,268694094.68,174436150.55
EBITDA,811614543.16,680516654.84,537073340.02,580169807.63
EBIT,439648141.3,377029182.2,283371886.39,405706443.04
Net Interest Income,-40167892.15,-46308664.74,-185118051.61,2411421.52
Interest Expense,45490039.66,54954618.01,195800548.26,15778934.19
Interest Income,6782043.94,10234964.82,10882991.91,18397340.36
Normalized Income,449745184.123504,354875681.1075,84229394.135,382642021.014832
Net Income From Continuing And Discontinued Operation,402569335.69,348032472.42,145420319.09,383067840.44
Total Expenses,2393333562.37,2124059168.57,2168237175.8,1864435887.73
Rent Expense Supplemental,,4096337.48,477552.68,304336.98
Total Operating Income As Reported,399871684.57,270069503.79,94796754.28,395600118.66
Diluted Average Shares,419343058.0,419316232.0,415486626.0,416378087.0
Basic Average Shares,419343058.0,419316232.0,415486626.0,416378087.0
Diluted EPS,0.96,0.83,0.35,0.92
Basic EPS,0.96,0.83,0.35,0.92
Net Income Common Stockholders,402569335.69,348032472.42,145420319.09,383067840.44
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,402569335.69,348032472.42,145420319.09,383067840.44
Minority Interests,15589933.11,14416768.23,20657027.73,3507129.66
Net Income Including Noncontrolling Interests,386979402.58,333615704.19,124763291.36,379560710.78
Net Income Continuous Operations,386979402.58,333615704.19,124763291.36,379560710.78
Tax Provision,7178699.06,-11541140.0,-37191953.23,10366798.07
Pretax Income,394158101.64,322074564.19,87571338.13,389927508.85
Other Non Operating Income Expenses,-5713582.93,52005060.4,-7225416.15,-5672609.81
Special Income Charges,-21745667.28,-8811667.85,82593406.79,-568057.18
Other Special Charges,588954.91,10730.91,-88610447.72,-68065.05
Write Off,-6303473.83,8800936.94,2495489.21,636122.23
Impairment Of Capital Assets,27460186.2,,3521551.72,
Net Non Operating Interest Income Expense,-40167892.15,-46308664.74,-185118051.61,2411421.52
Total Other Finance Cost,1459896.43,1589011.55,200495.26,206984.65
Interest Expense Non Operating,45490039.66,54954618.01,195800548.26,15778934.19
Interest Income Non Operating,6782043.94,10234964.82,10882991.91,18397340.36
Operating Income,498616549.66,332137318.05,208392481.56,381419703.73
Operating Expense,1854814220.78,1719576415.91,1899543081.12,1689999737.18
Other Operating Expenses,21270693.65,14162962.13,17603701.87,15242263.09
Depreciation And Amortization In Income Statement,122712878.39,23222113.71,26948922.99,26361134.02
Depreciation Income Statement,122712878.39,23222113.71,26948922.99,26361134.02
Research And Development,501901633.96,640138657.34,699904310.08,565947799.44
Selling General And Administration,786936209.54,696559706.72,869410563.6,802795005.02
Selling And Marketing Expense,769209901.92,563471300.4,552636963.07,609829242.86
General And Administrative Expense,17726307.62,133088406.32,316773600.53,192965762.16
Rent And Landing Fees,,4096337.48,477552.68,304336.98
Gross Profit,2353430770.44,2051713733.96,2107935562.68,2071419440.91
Cost Of Revenue,538519341.59,404482752.66,268694094.68,174436150.55
Total Revenue,2891950112.03,2456196486.62,2376629657.36,2245855591.46
Operating Revenue,2891950112.03,2456196486.62,2376629657.36,2245855591.46
