,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2522728.72185,-1032297.000857,8416155.506092,-2793573.53846
Tax Rate For Calcs,0.013048,0.050621,0.138568,0.099302
Normalized EBITDA,1195988455.28,1962292243.01,2641166961.42,2589006431.26
Total Unusual Items,-193335074.08,-20392540.73,60736715.04,-28132018.94
Total Unusual Items Excluding Goodwill,-193335074.08,-20392540.73,60736715.04,-28132018.94
Net Income From Continuing Operation Net Minority Interest,-353915283.44,545504537.18,1144323955.37,1097487658.51
Reconciled Depreciation,1040134231.24,961560019.81,916332525.1,852788346.24
Reconciled Cost Of Revenue,6436103666.16,5611538037.66,5660268400.81,5722532460.09
EBITDA,1002653381.2,1941899702.28,2701903676.46,2560874412.32
EBIT,-37480850.04,980339682.47,1785571151.36,1708086066.08
Net Interest Income,-331292953.57,-353649941.9,-338800695.42,-342236612.02
Interest Expense,341562507.21,356671886.7,331666914.11,344825170.5
Interest Income,32091795.67,21474873.72,19320223.87,16305973.5
Normalized Income,-163102938.08185,564864780.909143,1092003395.836092,1122826103.91154
Net Income From Continuing And Discontinued Operation,-353915283.44,545504537.18,1144323955.37,1097487658.51
Total Expenses,7165329009.11,6322670192.14,6467125421.03,6478752440.86
Rent Expense Supplemental,4074930.8,8144167.86,2785834.14,9289410.43
Total Operating Income As Reported,-376938417.97,624324512.07,1484774066.76,1413974097.64
Diluted Average Shares,3932392038.0,3030580762.0,3092767447.0,3048576829.0
Basic Average Shares,3932392038.0,3030580762.0,3092767447.0,3048576829.0
Diluted EPS,-0.09,0.18,0.37,0.36
Basic EPS,-0.09,0.18,0.37,0.36
Net Income Common Stockholders,-353915283.44,545504537.18,1144323955.37,1097487658.51
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-353915283.44,545504537.18,1144323955.37,1097487658.51
Minority Interests,20182134.39,-46592381.59,-108115909.9,-130398325.94
Net Income Including Noncontrolling Interests,-374097417.83,592096918.77,1252439865.27,1227885984.45
Net Income Continuous Operations,-374097417.83,592096918.77,1252439865.27,1227885984.45
Tax Provision,-4945939.42,31570877.0,201464371.98,135374911.13
Pretax Income,-379043357.25,623667795.77,1453904237.25,1363260895.58
Other Non Operating Income Expenses,-2104939.28,-656716.3,-30869829.51,-50713202.06
Special Income Charges,-187617626.89,-26444540.69,60646550.17,-30810958.94
Other Special Charges,-5260237.09,-79170708.16,-97595237.21,-6280137.98
Write Off,21368482.92,20007174.47,5750048.33,22036046.41
Impairment Of Capital Assets,171509381.06,85608074.38,31198638.71,15055050.51
Net Non Operating Interest Income Expense,-331292953.57,-353649941.9,-338800695.42,-342236612.02
Total Other Finance Cost,21822242.03,18452928.92,26454005.18,13717415.02
Interest Expense Non Operating,341562507.21,356671886.7,331666914.11,344825170.5
Interest Income Non Operating,32091795.67,21474873.72,19320223.87,16305973.5
Operating Income,196478014.23,833658125.14,1427105560.37,1821727187.85
Operating Expense,729225342.95,711132154.48,806857020.22,756219980.77
Other Operating Expenses,66013277.08,63043032.95,90034431.48,90073789.32
Depreciation And Amortization In Income Statement,40850928.68,42234771.66,36750613.55,28221149.94
Depreciation Income Statement,40850928.68,42234771.66,36750613.55,28221149.94
Research And Development,322361148.39,296660790.16,292603925.01,258776578.61
Selling General And Administration,239870590.03,206131654.95,176761034.45,165345188.37
Selling And Marketing Expense,117706804.98,102156329.88,61166031.79,38117627.56
General And Administrative Expense,122163785.05,103975325.07,115595002.66,127227560.81
Rent And Landing Fees,4074930.8,8144167.86,2785834.14,9289410.43
Gross Profit,925703357.18,1544790279.62,2233962580.59,2577947168.62
Cost Of Revenue,6436103666.16,5611538037.66,5660268400.81,5722532460.09
Total Revenue,7361807023.34,7156328317.28,7894230981.4,8300479628.71
Operating Revenue,7361807023.34,7156328317.28,7894230981.4,8300479628.71
