,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-142294582.72,-21896131.19,51574188.27,71904261.06
Capital Expenditure,-166955850.79,-81587924.35,-13487370.56,-13267306.25
End Cash Position,215133006.69,189658381.65,290736641.93,57015884.34
Beginning Cash Position,189658381.65,290736641.93,57015884.34,137027752.66
Effect Of Exchange Rate Changes,-917.9,-221.94,,-12714.56
Changes In Cash,25475542.94,-101078038.34,233720757.59,-79999153.76
Financing Cash Flow,-85949000.65,-53577466.01,581505096.27,-9234237.25
Net Other Financing Charges,-51579875.65,-3577466.01,581505096.27,-9234237.25
Cash Dividends Paid,-34369125.0,-50000000.0,,
Investing Cash Flow,86763275.52,-107192365.49,-412845897.51,-155936483.82
Net Other Investing Changes,5004.66,,,
Net Investment Purchase And Sale,254703024.78,-22568854.11,-399359116.95,-142670608.54
Sale Of Investment,709549989.35,405363114.77,389640883.05,532329391.46
Purchase Of Investment,-454846964.57,-427931968.88,-789000000.0,-675000000.0
Net Business Purchase And Sale,-1000000.0,-3053009.76,,
Purchase Of Business,-1000000.0,-3053009.76,,
Net PPE Purchase And Sale,-166944753.92,-81570501.62,-13486780.56,-13265875.28
Sale Of PPE,11096.87,17422.73,590.0,1430.97
Purchase Of PPE,-166955850.79,-81587924.35,-13487370.56,-13267306.25
Operating Cash Flow,24661268.07,59691793.16,65061558.83,85171567.31
Change In Working Capital,1052263.03,17409786.85,1843221.28,6523439.77
Change In Other Current Assets,-543312.21,-1886577.1,-331786.82,86900.38
Change In Payable,5356711.58,24100412.2,-931959.35,9017743.68
Change In Inventory,217673.15,561714.92,1619662.68,-2706831.83
Change In Receivables,-3978809.49,-5365763.17,1487304.77,125627.54
Other Non Cash Items,95675.27,146733.17,323635.43,158264.75
Depreciation And Amortization,17871273.78,13255453.89,12837816.32,12619803.46
Amortization Cash Flow,8862854.21,7769230.75,7729069.74,7791318.64
Depreciation,9008419.57,5486223.14,5108746.58,4828484.82
Gain Loss On Investment Securities,-8197342.87,-9966927.67,-6046737.22,-3419133.53
Gain Loss On Sale Of PPE,82680.35,40966.52,7460.82,17916.06
Net Income From Continuing Operations,4175712.97,36950013.09,54156391.62,66696891.27
Cash Flowsfromusedin Operating Activities Direct,24661268.07,59691793.16,65061558.83,85171567.31
Taxes Refund Paid Direct,-13305542.99,-16826558.04,-23357595.12,-20216301.4
Classesof Cash Payments,-181483534.93,-210465656.69,-168717060.8,-163060106.68
Other Cash Paymentsfrom Operating Activities,-71646431.18,-97910566.74,-57936374.96,-62277679.65
Paymentson Behalfof Employees,-98641433.15,-87732741.6,-85080065.52,-74757529.94
Paymentsto Suppliersfor Goodsand Services,-11195670.6,-24822348.35,-25700620.32,-26024897.09
Classesof Cash Receiptsfrom Operating Activities,219450345.99,286984007.89,257136214.75,268447975.39
Other Cash Receiptsfrom Operating Activities,4700615.7,40180460.31,7615403.48,10342999.14
Receiptsfrom Customers,214749730.29,246803547.58,249520811.27,258104976.25
