,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,19746934.7478,-61534084.724445,-26722823.535491,-8208309.278653
Tax Rate For Calcs,0.223508,0.190487,0.186924,0.1456
Normalized EBITDA,3116873657.79,2900202078.06,2490373451.44,2025310048.71
Total Unusual Items,88350150.2,-323035351.95,-142961174.71,-56375713.31
Total Unusual Items Excluding Goodwill,88350150.2,-323035351.95,-142961174.71,-56375713.31
Net Income From Continuing Operation Net Minority Interest,1589396047.12,1251709938.68,1131459559.1,968913403.16
Reconciled Depreciation,959744552.27,781552307.23,744244638.44,749293321.04
Reconciled Cost Of Revenue,15197805567.72,14552264656.36,13499780706.52,11800896641.69
EBITDA,3205223807.99,2577166726.11,2347412276.73,1968934335.4
EBIT,2245479255.72,1795614418.88,1603167638.29,1219641014.36
Net Interest Income,-186515211.79,-222748058.64,-212016076.46,-121422924.91
Interest Expense,214593903.31,253703120.05,234351477.63,106925748.71
Interest Income,44726303.55,46280698.65,37115345.85,18928863.32
Normalized Income,1520792831.6678,1513211205.905555,1247697910.274509,1017080807.191347
Net Income From Continuing And Discontinued Operation,1589396047.12,1251709938.68,1131459559.1,968913403.16
Total Expenses,17701480828.67,16904121250.97,15718826616.95,13772055775.85
Rent Expense Supplemental,114571432.09,22241600.99,24912864.23,23220400.41
Total Operating Income As Reported,2083401477.45,1526289564.38,1377315468.61,1123377394.46
Diluted Average Shares,1313550452.0,1317589409.0,1315650650.0,1309342437.0
Basic Average Shares,1313550452.0,1317589409.0,1315650650.0,1309342437.0
Diluted EPS,1.21,0.95,0.86,0.74
Basic EPS,1.21,0.95,0.86,0.74
Net Income Common Stockholders,1589396047.12,1251709938.68,1131459559.1,968913403.16
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1589396047.12,1251709938.68,1131459559.1,968913403.16
Minority Interests,12429114.13,3512934.36,18507501.32,18209587.18
Net Income Including Noncontrolling Interests,1576966932.99,1248197004.32,1112952057.78,950703815.98
Net Income Continuous Operations,1576966932.99,1248197004.32,1112952057.78,950703815.98
Tax Provision,453918419.42,293714294.51,255864102.88,162011449.67
Pretax Income,2030885352.41,1541911298.83,1368816160.66,1112715265.65
Other Non Operating Income Expenses,-52516125.04,15621734.45,-8499307.95,-10963132.04
Special Income Charges,-386595965.82,-326454394.47,-98692584.58,-66635623.72
Other Special Charges,494676.52,2946696.96,-2044734.57,-89037316.68
Write Off,39720188.61,27685187.32,40806157.01,58871523.54
Impairment Of Capital Assets,346381100.69,295822510.19,59931162.14,96801416.86
Net Non Operating Interest Income Expense,-186515211.79,-222748058.64,-212016076.46,-121422924.91
Total Other Finance Cost,16647612.03,15325637.24,14779944.68,14497176.2
Interest Expense Non Operating,214593903.31,253703120.05,234351477.63,106925748.71
Interest Income Non Operating,44726303.55,46280698.65,37115345.85,18928863.32
Operating Income,2098349299.82,1949912871.81,1525621649.32,1141130938.26
Operating Expense,2503675260.95,2351856594.61,2219045910.43,1971159134.16
Other Operating Expenses,148330929.82,169768443.39,87531722.01,125037743.68
Depreciation And Amortization In Income Statement,93600717.03,90228568.62,81304920.05,84387325.31
Amortization,21065353.37,22278718.91,19794676.44,22422799.94
Depreciation Income Statement,72535363.66,67949849.71,61510243.61,61964525.37
Research And Development,934636580.71,845147504.38,782767374.81,661032937.99
Selling General And Administration,523155367.16,575091995.15,590991337.41,487117491.26
Selling And Marketing Expense,138833740.73,211326756.68,260000299.27,196880197.65
General And Administrative Expense,384321626.43,363765238.47,330991038.14,290237293.61
Rent And Landing Fees,114571432.09,22241600.99,24912864.23,23220400.41
Gross Profit,4602024560.77,4301769466.42,3744667559.75,3112290072.42
Cost Of Revenue,15197805567.72,14552264656.36,13499780706.52,11800896641.69
Total Revenue,19799830128.49,18854034122.78,17244448266.27,14913186714.11
Operating Revenue,19799830128.49,18854034122.78,17244448266.27,14913186714.11
