,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2056636.44532,-1141760.693449,147539.740307,-207113.079982
Tax Rate For Calcs,0.052264,0.064362,0.036284,0.056095
Normalized EBITDA,109401779.54,86634740.29,55523121.96,63295135.29
Total Unusual Items,-39351068.29,-17739535.58,4066240.81,-3692181.4
Total Unusual Items Excluding Goodwill,-39351068.29,-17739535.58,4066240.81,-3692181.4
Net Income From Continuing Operation Net Minority Interest,52608276.84,52506026.99,44021209.85,46280738.8
Reconciled Depreciation,9534457.2,9672586.52,9827306.95,10173716.33
Reconciled Cost Of Revenue,532126236.51,770406070.77,574549058.28,535273611.67
EBITDA,70050711.25,68895204.71,59589362.77,59602953.89
EBIT,60516254.05,59222618.19,49762055.82,49429237.56
Net Interest Income,2908196.97,4759434.24,6060317.29,2917841.16
Interest Expense,26885.82,80803.14,0.0,
Interest Income,3109222.18,5001222.0,6332139.8,3223739.53
Normalized Income,89902708.68468,69103801.876551,40102508.780307,49765807.120018
Net Income From Continuing And Discontinued Operation,52608276.84,52506026.99,44021209.85,46280738.8
Total Expenses,646440576.42,879639212.97,694378812.9,657359759.59
Total Operating Income As Reported,58172411.29,58592156.81,51393962.75,50647217.89
Diluted Average Shares,223865008.0,223429902.0,223457918.0,223578448.0
Basic Average Shares,223865008.0,223429902.0,223457918.0,223578448.0
Diluted EPS,0.235,0.235,0.197,0.207
Basic EPS,0.235,0.235,0.197,0.207
Net Income Common Stockholders,52608276.84,52506026.99,44021209.85,46280738.8
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,52608276.84,52506026.99,44021209.85,46280738.8
Minority Interests,-4719687.02,-2829273.54,-3935276.37,-2189053.5
Net Income Including Noncontrolling Interests,57327963.86,55335300.53,47956486.22,48469792.3
Net Income Continuous Operations,57327963.86,55335300.53,47956486.22,48469792.3
Tax Provision,3161404.37,3806514.52,1805569.6,2880496.75
Pretax Income,60489368.23,59141815.05,49762055.82,51350289.05
Other Non Operating Income Expenses,2316956.94,549658.24,-1631906.93,703071.16
Special Income Charges,-39351763.79,-17736892.68,4073334.91,-3700666.5
Other Special Charges,-1387410.54,-2352.44,,16509.28
Write Off,37372082.28,14947367.71,900424.57,-12120380.58
Impairment Of Capital Assets,3367092.05,2791877.41,-4973759.48,15804537.8
Net Non Operating Interest Income Expense,2908196.97,4759434.24,6060317.29,2917841.16
Total Other Finance Cost,174139.39,160984.62,271822.51,305898.37
Interest Expense Non Operating,26885.82,80803.14,0.0,
Interest Income Non Operating,3109222.18,5001222.0,6332139.8,3223739.53
Operating Income,92976869.28,69938705.35,40825556.75,49429237.56
Operating Expense,114314339.91,109233142.2,119829754.62,122086147.92
Other Operating Expenses,7647526.72,4207300.63,7039415.29,10117695.36
Depreciation And Amortization In Income Statement,4871100.84,5914649.96,5924390.19,6193016.29
Amortization,699576.78,686979.37,688101.1,684781.69
Depreciation Income Statement,4171524.06,5227670.59,5236289.09,5508234.6
Research And Development,45954642.44,42599450.99,55670219.95,55655370.79
Selling General And Administration,46219366.39,44849135.18,37142695.28,42755725.25
Selling And Marketing Expense,11791445.43,12034995.2,8155572.33,12035809.86
General And Administrative Expense,34427920.96,32814139.98,28987122.95,30719915.39
Gross Profit,207291209.19,179171847.55,160655311.37,171515385.48
Cost Of Revenue,532126236.51,770406070.77,574549058.28,535273611.67
Total Revenue,739417445.7,949577918.32,735204369.65,706788997.15
Operating Revenue,739417445.7,949577918.32,735204369.65,706788997.15
