,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-159772921.6,67184851.75,-13943832.64,-123505802.71
Repayment Of Debt,-111899999.96,-146459284.71,-109196410.85,-115000000.0
Issuance Of Debt,172000000.0,109500000.0,256500000.0,134700000.0
Capital Expenditure,-76428130.02,-136419680.38,-349992045.86,-87096565.16
End Cash Position,355266158.29,476428406.1,328707234.02,181498513.46
Beginning Cash Position,476428406.1,328707234.02,181498513.46,118937380.71
Effect Of Exchange Rate Changes,2361203.23,102817.61,5386593.3,-2710604.48
Changes In Cash,-123523451.04,147618354.47,141822127.26,65271737.23
Financing Cash Flow,131910285.68,23504540.8,166798836.63,181639874.48
Net Other Financing Charges,110861835.67,83220843.8,39252793.34,175175074.79
Cash Dividends Paid,-39051550.03,-22757018.29,-19757545.86,-13235200.31
Net Issuance Payments Of Debt,60100000.04,-36959284.71,147303589.15,19700000.0
Net Long Term Debt Issuance,60100000.04,-36959284.71,147303589.15,19700000.0
Long Term Debt Payments,-111899999.96,-146459284.71,-109196410.85,-115000000.0
Long Term Debt Issuance,172000000.0,109500000.0,256500000.0,134700000.0
Investing Cash Flow,-172088945.14,-79490718.46,-361024922.59,-79958899.7
Net Other Investing Changes,,,-186554.03,-229860.79
Net Investment Purchase And Sale,-18351944.05,56783132.8,-11086668.47,5663622.67
Sale Of Investment,210148055.95,186783132.8,20813331.53,111214733.67
Purchase Of Investment,-228500000.0,-130000000.0,-31900000.0,-105551111.0
Net Business Purchase And Sale,-78525738.85,,,
Purchase Of Business,-78525738.85,,,
Net PPE Purchase And Sale,-75211262.24,-136273851.26,-349751700.09,-85392661.58
Sale Of PPE,1216867.78,145829.12,240345.77,1703903.58
Purchase Of PPE,-76428130.02,-136419680.38,-349992045.86,-87096565.16
Capital Expenditure Reported,,,,
Operating Cash Flow,-83344791.58,203604532.13,336048213.22,-36409237.55
Change In Working Capital,-398087183.02,105773471.49,114029586.86,-250962351.76
Change In Other Current Assets,-8104164.21,-519850.42,-3310128.48,-8095021.6
Change In Payable,162044176.76,302533318.23,521981961.59,-84355626.53
Change In Inventory,-164035639.25,-6453678.29,153593984.32,-112785013.4
Change In Receivables,-387991556.32,-189786318.03,-558236230.57,-45726690.23
Other Non Cash Items,5715671.58,4263696.86,-1744971.05,6066465.4
Deferred Tax,,,,
Depreciation And Amortization,61351881.16,41790406.35,35823937.05,34158405.58
Amortization Cash Flow,2215191.39,2212166.3,1929715.62,1881202.58
Depreciation,59136689.77,39578240.05,33894221.43,32277203.0
Gain Loss On Investment Securities,-7853378.58,-5129439.32,-2023911.66,-1918893.77
Gain Loss On Sale Of PPE,-79175.58,896461.86,-176540.11,-396730.04
Net Income From Continuing Operations,209403436.72,51292880.29,179997995.82,158268296.04
Cash Flowsfromusedin Operating Activities Direct,-83344791.58,203604532.13,336048213.22,-36409237.55
Taxes Refund Paid Direct,-74355514.37,-63997387.83,-88100494.53,-59837606.99
Classesof Cash Payments,-1191192996.02,-864522684.78,-779326303.78,-883865402.03
Other Cash Paymentsfrom Operating Activities,-190966778.62,-71664766.29,-52892258.43,-66204039.64
Paymentson Behalfof Employees,-248097929.67,-204038192.9,-184680062.1,-175837541.87
Paymentsto Suppliersfor Goodsand Services,-752128287.73,-588819725.59,-541753983.25,-641823820.52
Classesof Cash Receiptsfrom Operating Activities,1182203718.81,1132124604.74,1203475011.53,907293771.47
Other Cash Receiptsfrom Operating Activities,39926785.74,29774441.96,48268701.31,26437071.61
Receiptsfrom Customers,1142276933.07,1102350162.78,1155206310.22,880856699.86
