,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-128081341.45,-530353746.35,385026151.23,-2136533930.81
Repayment Of Debt,-2346943160.45,-682144294.28,-830478762.13,-606546237.3
Issuance Of Debt,9502823964.33,815135601.43,2718819989.01,4059214765.92
Capital Expenditure,-2261525919.3,-2082167390.2,-1979981583.31,-1408594920.39
End Cash Position,17183117634.82,12385138068.73,12229065100.31,10261440562.89
Beginning Cash Position,12385138068.73,12346865047.38,10261440562.89,9030808233.4
Effect Of Exchange Rate Changes,-14084532.49,5152267.11,13902319.48,36737208.67
Changes In Cash,4812064098.58,33120754.24,1953722217.94,1193895120.82
Financing Cash Flow,6607497814.31,729034659.87,1647201985.21,3344576398.05
Net Other Financing Charges,359577596.83,1213393524.09,146487629.01,133040258.96
Cash Dividends Paid,-857960944.21,-574306217.36,-380371296.73,-152456860.57
Net Issuance Payments Of Debt,7155880803.88,132991307.15,1888341226.88,3452668528.62
Net Long Term Debt Issuance,7155880803.88,132991307.15,1888341226.88,3452668528.62
Long Term Debt Payments,-2346943160.45,-682144294.28,-830478762.13,-606546237.3
Long Term Debt Issuance,9502823964.33,815135601.43,2718819989.01,4059214765.92
Investing Cash Flow,-3928878293.58,-2247727549.48,-2058487501.81,-1422742266.81
Net Other Investing Changes,3125664.42,,,
Net Investment Purchase And Sale,-494760439.51,-165939085.2,-70417788.58,-14808478.74
Sale Of Investment,280447723.02,834828.02,2549346.03,381810.9
Purchase Of Investment,-775208162.53,-166773913.22,-72967134.61,-15190289.64
Net Business Purchase And Sale,-2016856217.12,-6300469.5,-8367060.82,
Sale Of Business,0.0,0.0,,
Purchase Of Business,-2016856217.12,-6300469.5,-8367060.82,
Net PPE Purchase And Sale,-1420387301.37,-2075487994.78,-1979702652.41,-1407933788.07
Sale Of PPE,841138617.93,6679395.42,278930.9,661132.32
Purchase Of PPE,-2261525919.3,-2082167390.2,-1979981583.31,-1408594920.39
Operating Cash Flow,2133444577.85,1551813643.85,2365007734.54,-727939010.42
Change In Working Capital,-6765892582.11,-6441470486.78,-3409163442.54,-4424282203.54
Change In Other Current Assets,-40754971.13,-257840996.51,-84545504.49,111755061.98
Change In Payable,1196738715.78,2169416619.22,1809835463.11,3923505086.2
Change In Inventory,-5055924305.79,-6584534926.77,-3968028157.07,-5012061115.84
Change In Receivables,-2865952020.97,-1768511182.72,-1166425244.09,-3447481235.88
Other Non Cash Items,335984035.59,245570557.11,186855682.02,96748884.92
Depreciation And Amortization,1486103441.77,1021291869.51,693895357.27,532762686.06
Amortization Cash Flow,981070596.7,631139041.47,368322666.74,290788390.87
Depreciation,505032845.07,390152828.04,325572690.53,241974295.19
Gain Loss On Investment Securities,-2931546.07,-9513419.98,4376818.46,2113965.33
Gain Loss On Sale Of PPE,-10383652.94,-5280261.42,2794379.07,34010374.26
Net Income From Continuing Operations,5408907258.2,5714106000.63,4032724774.05,2540992283.39
Cash Flowsfromusedin Operating Activities Direct,2133444577.85,1551813643.85,2365007734.54,-727939010.42
Taxes Refund Paid Direct,-1299092838.91,-1261739781.19,-1083531373.09,-984765325.69
Classesof Cash Payments,-36036657615.62,-26691182232.76,-19807610491.98,-17239385659.45
Other Cash Paymentsfrom Operating Activities,-1802510448.86,-1509508612.41,-738906056.3,-749884130.6
Paymentson Behalfof Employees,-6687934869.33,-5160471204.95,-3875370885.8,-2960424375.64
Paymentsto Suppliersfor Goodsand Services,-27546212297.43,-20021202415.4,-15193333549.88,-13529077153.21
Classesof Cash Receiptsfrom Operating Activities,39469195032.38,29504735657.8,23256149599.61,17496211974.72
Other Cash Receiptsfrom Operating Activities,1801390941.97,3237928827.67,1993429623.4,1570915168.6
Receiptsfrom Customers,37667804090.41,26266806830.13,21262719976.21,15925296806.12
