,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,128903136.0,128902949.0,128895000.0,128400000.0
Share Issued,128903136.0,128902949.0,128895000.0,128400000.0
Net Debt,164624293.94,92514497.86,70613126.05,
Total Debt,413729026.13,376519667.96,347708951.52,6768475.75
Tangible Book Value,1306767232.76,1296200567.54,1261113720.8,1050881288.83
Invested Capital,1738249228.62,1690412606.82,1625806247.2,1074550646.22
Working Capital,1288700577.92,1299704932.02,1235927541.58,735587436.37
Net Tangible Assets,1306767232.76,1296200567.54,1261113720.8,1050881288.83
Capital Lease Obligations,1093004.46,2153045.6,3808040.68,6768475.75
Common Stock Equity,1326873054.83,1317708884.61,1283571849.27,1074550646.22
Total Capitalization,1732045312.51,1690412606.82,1625806247.2,1074550646.22
Total Equity Gross Minority Interest,1365454512.42,1321470743.14,1283571849.27,1074550646.22
Minority Interest,38581457.59,3761858.53,,
Stockholders Equity,1326873054.83,1317708884.61,1283571849.27,1074550646.22
Other Equity Interest,139412166.07,139413839.88,139484698.11,
Treasury Stock,30477321.24,,,
Retained Earnings,414069867.24,374362640.71,345188907.07,312522942.67
Additional Paid In Capital,588726083.83,598570663.12,598331828.18,584224328.18
Capital Stock,128903136.0,128902949.0,128895000.0,128400000.0
Common Stock,128903136.0,128902949.0,128895000.0,128400000.0
Total Liabilities Net Minority Interest,840355674.45,668812157.14,620014263.15,315879103.1
Total Non Current Liabilities Net Minority Interest,465627525.17,430228916.21,407615857.65,22696166.33
Tradeand Other Payables Non Current,10000000.0,,,
Non Current Deferred Revenue,13912848.29,15822162.73,18030764.8,6472623.65
Non Current Deferred Taxes Liabilities,35449414.74,39549985.67,43542654.24,9455066.93
Long Term Debt And Capital Lease Obligation,406265262.14,374856767.81,346042438.61,6768475.75
Long Term Capital Lease Obligation,1093004.46,2153045.6,3808040.68,6768475.75
Long Term Debt,405172257.68,372703722.21,342234397.93,
Current Liabilities,374728149.28,238583240.93,212398405.5,293182936.77
Other Current Liabilities,65728.6,80974.0,77925.37,111681.23
Current Debt And Capital Lease Obligation,7463763.99,1662900.15,1666512.91,
Current Debt,6203916.11,1662900.15,1666512.91,
Payables,365482301.54,235170715.0,209118907.06,290632209.21
Other Payable,21849762.94,17447745.73,17333418.44,18877489.73
Total Tax Payable,13636268.3,8118767.38,3350563.67,2368078.89
Accounts Payable,329996270.3,209604201.89,188434924.95,269386640.59
Total Assets,2205810186.87,1990282900.28,1903586112.42,1390429749.32
Total Non Current Assets,542381459.67,451994727.33,455260165.34,361659376.18
Other Non Current Assets,6816039.88,46330.0,879639.72,20819593.01
Non Current Deferred Taxes Assets,5763267.61,4826627.87,5673787.89,7991108.91
Investmentin Financial Assets,25390700.0,25390700.0,25390700.0,10000000.0
Available For Sale Securities,25390700.0,25390700.0,25390700.0,10000000.0
Long Term Equity Investment,32113141.27,5614756.25,6211644.43,6784410.97
Goodwill And Other Intangible Assets,20105822.07,21508317.07,22458128.47,23669357.39
Other Intangible Assets,19468258.41,20870753.41,21820564.81,23031793.73
Goodwill,637563.66,637563.66,637563.66,637563.66
Net PPE,452192488.84,394607996.14,394646264.83,292394905.9
Accumulated Depreciation,-500873746.45,-463189424.88,-419363379.45,-378970288.71
Gross PPE,953066235.29,857797421.02,814009644.28,671365194.61
Construction In Progress,75450700.97,15898296.76,24231104.18,23119339.83
Other Properties,184329214.45,170547766.72,149912333.56,138266740.25
Machinery Furniture Equipment,603712176.03,581801984.34,554406172.34,458512375.78
Buildings And Improvements,,,,51466738.75
Properties,89574143.84,89549373.2,85460034.2,51466738.75
Current Assets,1663428727.2,1538288172.95,1448325947.08,1028770373.14
Other Current Assets,3873375.44,55497950.86,,10860751.96
Prepaid Assets,5616128.76,13635938.52,8927938.28,638657.8
Inventory,195078809.83,165497897.21,158096804.53,142302873.2
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,46609945.83,48290401.94,45347040.33,54342515.71
Work In Process,107526846.43,84180271.67,68391856.2,39868469.36
Raw Materials,40942017.57,33027223.6,44357908.0,48091888.13
Other Receivables,85423166.16,46073419.87,33238119.46,60604311.15
Accounts Receivable,334628439.38,222987996.31,206725572.65,245121418.61
Allowance For Doubtful Accounts Receivable,-17845454.07,-11901010.34,-11308494.06,-13242566.47
Gross Accounts Receivable,352473893.45,234889006.65,218034066.71,258363985.08
Cash Cash Equivalents And Short Term Investments,1038808807.63,1034594970.18,1041337512.16,569242360.42
Other Short Term Investments,792056927.78,754405745.83,769716240.28,361359138.36
Cash And Cash Equivalents,246751879.85,280189224.35,271621271.88,207883222.06
Cash Equivalents,1202.86,6606013.75,13143400.0,17285544.14
Cash Financial,246750676.99,273583210.6,258477871.88,190597677.92
