,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-29128773.231741,12562842.263015,4879690.528624,-1462405179.009961
Tax Rate For Calcs,0.251812,0.175044,0.194812,0.398867
Normalized EBITDA,8540166019.8,10179150023.09,13010996408.75,11689242338.7
Total Unusual Items,-115676627.2,71769443.57,25048237.65,-3666401269.68
Total Unusual Items Excluding Goodwill,-115676627.2,71769443.57,25048237.65,-3666401269.68
Net Income From Continuing Operation Net Minority Interest,4306779295.81,5905386622.42,7577628082.11,3236905475.1
Reconciled Depreciation,1556304166.46,1578087375.09,1419961343.53,1521382779.77
Reconciled Cost Of Revenue,30226555269.95,27708808240.85,29338267775.94,22190161519.02
EBITDA,8424489392.6,10250919466.66,13036044646.4,8022841069.02
EBIT,6868185226.14,8672832091.57,11616083302.87,6501458289.25
Net Interest Income,-61176308.57,-70129478.33,-802311042.31,-1343600100.67
Interest Expense,455482018.87,516957929.24,956347407.58,1416268497.13
Interest Income,426012667.45,495715276.59,248485106.75,213958543.42
Normalized Income,4393327149.778259,5846180021.113015,7557459534.988624,5440901565.770039
Net Income From Continuing And Discontinued Operation,4306779295.81,5905386622.42,7577628082.11,3236905475.1
Total Expenses,32259510888.82,29698732518.27,31285758044.23,24433943602.88
Rent Expense Supplemental,5474135.38,3184097.57,,
Total Operating Income As Reported,6611079088.97,8269727892.01,10901717304.66,5354925376.16
Diluted Average Shares,2231491863.0,2236888872.0,2241901799.0,2232348604.0
Basic Average Shares,2231491863.0,2228447782.0,2235288520.0,2232348604.0
Diluted EPS,1.93,2.64,3.38,1.45
Basic EPS,1.93,2.65,3.39,1.45
Net Income Common Stockholders,4306779295.81,5905386622.42,7577628082.11,3236905475.1
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4306779295.81,5905386622.42,7577628082.11,3236905475.1
Minority Interests,-491127715.82,-822847091.25,-1005466214.17,180028281.97
Net Income Including Noncontrolling Interests,4797907011.63,6728233713.67,8583094296.28,3056877193.13
Net Income Continuous Operations,4797907011.63,6728233713.67,8583094296.28,3056877193.13
Tax Provision,1614796195.64,1427640448.66,2076641599.01,2028312598.99
Pretax Income,6412703207.27,8155874162.33,10659735895.29,5085189792.12
Other Non Operating Income Expenses,-198375881.7,-113853729.68,-241981409.37,-269735584.04
Special Income Charges,-115676627.2,71769443.57,25048237.65,-3666401269.68
Other Special Charges,-43449440.83,-70992451.57,-16305850.74,79055137.23
Write Off,64125986.12,-7428533.88,-30632726.11,742377924.52
Impairment Of Capital Assets,95000081.91,6651541.88,21890339.2,2844968207.93
Net Non Operating Interest Income Expense,-61176308.57,-70129478.33,-802311042.31,-1343600100.67
Total Other Finance Cost,31706957.15,48886825.68,94448741.48,141290146.96
Interest Expense Non Operating,455482018.87,516957929.24,956347407.58,1416268497.13
Interest Income Non Operating,426012667.45,495715276.59,248485106.75,213958543.42
Operating Income,6113152648.62,7926347038.2,11418095242.34,10058973048.23
Operating Expense,2032955618.87,1989924277.42,1947490268.29,2243782083.86
Other Operating Expenses,536846504.91,546769988.16,719781227.67,700820647.82
Depreciation And Amortization In Income Statement,58654854.16,52072824.45,34934263.32,51919083.14
Amortization,9310942.85,10631113.29,4079380.17,5555385.87
Depreciation Income Statement,49343911.31,41441711.16,30854883.15,46363697.27
Research And Development,448008910.78,429028315.67,183780042.78,145401761.26
Selling General And Administration,496820943.19,506782918.25,528940187.7,869054621.84
Selling And Marketing Expense,237118140.21,278485628.2,270495251.6,342801173.83
General And Administrative Expense,259702802.98,228297290.05,258444936.1,526253448.01
Rent And Landing Fees,5474135.38,3184097.57,,
Gross Profit,8146108267.49,9916271315.62,13365585510.63,12302755132.09
Cost Of Revenue,30226555269.95,27708808240.85,29338267775.94,22190161519.02
Total Revenue,38372663537.44,37625079556.47,42703853286.57,34492916651.11
Operating Revenue,38372663537.44,37625079556.47,42703853286.57,34492916651.11
