,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-23938413.114206,-21403532.523567,-14361623.669746,-5149483.980121
Tax Rate For Calcs,0.133906,0.115183,0.069798,0.086316
Normalized EBITDA,6419971381.7,6666872425.82,5371825168.56,3089705870.29
Total Unusual Items,-178770921.41,-185821590.48,-205761062.74,-59658749.59
Total Unusual Items Excluding Goodwill,-178770921.41,-185821590.48,-205761062.74,-59658749.59
Net Income From Continuing Operation Net Minority Interest,3522493083.51,4062674002.7,3091415514.32,1332116148.15
Reconciled Depreciation,1590593210.11,1433454743.13,1263283381.56,1066404755.32
Reconciled Cost Of Revenue,27711170618.66,23030341853.6,18846747382.01,17868770696.74
EBITDA,6241200460.29,6481050835.34,5166064105.82,3030047120.7
EBIT,4650607250.18,5047596092.21,3902780724.26,1963642365.38
Net Interest Income,-431280764.25,-347980319.91,-407976396.07,-378620371.13
Interest Expense,474614483.46,387312026.03,460379861.39,400625572.99
Interest Income,71437651.03,67504193.78,84131111.21,56893429.39
Normalized Income,3677325591.805794,4227092060.656433,3282814953.390254,1386625413.759879
Net Income From Continuing And Discontinued Operation,3522493083.51,4062674002.7,3091415514.32,1332116148.15
Total Expenses,32069103332.3,26653078187.17,21838004090.22,19946137037.81
Rent Expense Supplemental,9254742.44,4043516.52,3329117.93,6216347.26
Total Operating Income As Reported,4194580156.74,4705739769.52,3516784601.82,1597735825.45
Diluted Average Shares,3261567670.0,3250139202.0,3154505627.0,3097944531.0
Basic Average Shares,3261567670.0,3224344447.0,3060807440.0,3027536700.0
Diluted EPS,1.08,1.25,0.98,0.43
Basic EPS,1.08,1.26,1.01,0.44
Net Income Common Stockholders,3522493083.51,4062674002.7,3091415514.32,1332116148.15
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3522493083.51,4062674002.7,3091415514.32,1332116148.15
Minority Interests,-94311202.09,-60823453.69,-110714108.43,-95987827.79
Net Income Including Noncontrolling Interests,3616804285.6,4123497456.39,3202129622.75,1428103975.94
Net Income Continuous Operations,3616804285.6,4123497456.39,3202129622.75,1428103975.94
Tax Provision,559188481.12,536786609.79,240271240.12,134912816.45
Pretax Income,4175992766.72,4660284066.18,3442400862.87,1563016792.39
Other Non Operating Income Expenses,-18587390.02,-45455703.34,-68509625.17,-40961057.88
Special Income Charges,-196904809.36,-171172987.21,-185432024.86,-81306374.62
Other Special Charges,733185.74,-593177.15,-6105922.23,-4470076.1
Write Off,9658245.91,9377529.78,7517440.9,-7344242.7
Impairment Of Capital Assets,186513377.71,162388634.58,184020506.19,93120693.42
Net Non Operating Interest Income Expense,-431280764.25,-347980319.91,-407976396.07,-378620371.13
Total Other Finance Cost,28103931.82,28172487.66,31727645.89,34888227.53
Interest Expense Non Operating,474614483.46,387312026.03,460379861.39,400625572.99
Interest Income Non Operating,71437651.03,67504193.78,84131111.21,56893429.39
Operating Income,4723330624.82,5149309915.61,4140255399.97,1956076835.35
Operating Expense,4357932713.64,3622736333.57,2991256708.21,2077366341.07
Other Operating Expenses,127811242.39,116897499.16,45761663.58,68065724.5
Depreciation And Amortization In Income Statement,294289342.42,268262380.08,255632438.02,204101573.3
Depreciation Income Statement,294289342.42,268262380.08,255632438.02,204101573.3
Research And Development,1147383219.15,1012814035.14,838272393.94,620835222.63
Selling General And Administration,1310170520.93,1138511809.42,894492341.83,563633979.68
Selling And Marketing Expense,821494831.19,657202207.05,532207496.9,306865247.91
General And Administrative Expense,488675689.74,481309602.37,362284844.93,256768731.77
Rent And Landing Fees,9254742.44,4043516.52,3329117.93,6216347.26
Gross Profit,9081263338.46,8772046249.18,7131512108.18,4033443176.42
Cost Of Revenue,27711170618.66,23030341853.6,18846747382.01,17868770696.74
Total Revenue,36792433957.12,31802388102.78,25978259490.19,21902213873.16
Operating Revenue,36792433957.12,31802388102.78,25978259490.19,21902213873.16
