,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,39913638.5,137548983.83,-361587929.17,-130596751.22
Repayment Of Debt,-59427453.77,-108024886.93,-379243546.33,-42920327.17
Issuance Of Debt,107828801.02,5264942.3,16398721.1,389055775.69
Capital Expenditure,-54381075.28,-38166977.16,-19308367.82,-31702987.66
End Cash Position,446032502.31,380207739.17,457854024.4,399002806.72
Beginning Cash Position,380207739.17,457854024.4,399002806.72,391255475.95
Effect Of Exchange Rate Changes,1199598.91,5349431.09,15987706.44,-20191759.53
Changes In Cash,64625164.23,-82995716.32,42863511.24,27939090.3
Financing Cash Flow,-25840144.79,-57018509.14,406257089.66,170960788.12
Net Other Financing Charges,-58046035.12,71113914.09,895858619.73,-81577767.96
Cash Dividends Paid,-16195456.92,-25372478.6,-126756704.84,-93596892.44
Net Issuance Payments Of Debt,48401347.25,-102759944.63,-362844825.23,346135448.52
Net Long Term Debt Issuance,48401347.25,-102759944.63,-362844825.23,346135448.52
Long Term Debt Payments,-59427453.77,-108024886.93,-379243546.33,-42920327.17
Long Term Debt Issuance,107828801.02,5264942.3,16398721.1,389055775.69
Investing Cash Flow,-3829404.76,-201693168.17,-21114017.07,-44127934.26
Net Other Investing Changes,94546068.13,-6758243.55,,1800315.26
Net Investment Purchase And Sale,104125.8,-4898897.92,96727.26,-7219568.65
Sale Of Investment,104125.8,101102.08,96727.26,50431.35
Purchase Of Investment,,-5000000.0,,-7270000.0
Net Business Purchase And Sale,-46504812.0,-169500000.0,-2778000.0,-11000000.0
Sale Of Business,23295188.0,,,
Purchase Of Business,-69800000.0,-169500000.0,-2778000.0,-11000000.0
Net PPE Purchase And Sale,-51974786.69,-20536026.7,-18432744.33,-27708680.87
Sale Of PPE,2406288.59,17630950.46,875623.49,3994306.79
Purchase Of PPE,-54381075.28,-38166977.16,-19308367.82,-31702987.66
Capital Expenditure Reported,,,,
Operating Cash Flow,94294713.78,175715960.99,-342279561.35,-98893763.56
Change In Working Capital,80030105.4,117941076.89,418046321.19,456579841.15
Change In Other Current Assets,143023.43,2518963.42,-28650923.35,-19558147.68
Change In Payable,-204864768.08,130940709.38,479467969.08,543523715.69
Change In Inventory,48586520.75,7864882.02,74322231.8,83447631.85
Change In Receivables,236165329.3,-23383477.93,-107092956.34,-150833358.71
Other Non Cash Items,27756318.58,32304085.66,149088618.83,226799306.73
Deferred Tax,,,,
Depreciation And Amortization,64423003.36,72177106.36,73013398.0,79172789.69
Amortization Cash Flow,4996249.55,8065488.86,7915608.38,14420117.63
Depreciation,59426753.81,64111617.5,65097789.62,64752672.06
Gain Loss On Investment Securities,-121694140.65,-32492800.26,-981899023.61,-15449584.25
Gain Loss On Sale Of PPE,-502155.8,-78459.06,2453868.62,-1181771.25
Net Income From Continuing Operations,20061405.9,90056522.89,-336271445.98,-1495357078.2
Cash Flowsfromusedin Operating Activities Direct,94294713.78,175715960.99,-342279561.35,-98893763.56
Taxes Refund Paid Direct,-69338608.3,-56633013.65,-47962208.72,-53645215.35
Classesof Cash Payments,-3127724526.66,-3250939223.82,-3438812326.71,-3037851649.75
Other Cash Paymentsfrom Operating Activities,-257544805.0,-401669101.84,-710763669.47,-290594720.2
Paymentson Behalfof Employees,-1538045810.54,-1520148698.31,-1471190985.06,-1427236744.42
Paymentsto Suppliersfor Goodsand Services,-1332133911.12,-1329121423.67,-1256857672.18,-1320020185.13
Classesof Cash Receiptsfrom Operating Activities,3291357848.74,3483288198.46,3144494974.08,2992603101.54
Other Cash Receiptsfrom Operating Activities,117546092.17,480304114.43,168146736.05,216338016.38
Receiptsfrom Customers,3173811756.57,3002984084.03,2976348238.03,2776265085.16
