,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,322872111.55,249630022.34,50712623.4,228369661.16
Capital Expenditure,-93217078.22,-70789512.8,-148368436.67,-33539512.83
End Cash Position,1923502451.86,591588339.98,334252333.7,328917536.39
Beginning Cash Position,591588339.98,334252333.7,328917536.39,184594814.76
Changes In Cash,1331914111.88,257336006.28,5334797.31,144322721.63
Financing Cash Flow,1012918263.0,-901500.0,-45980460.0,-83111960.0
Net Other Financing Charges,1012918263.0,-901500.0,-2780460.0,-111960.0
Cash Dividends Paid,,,-43200000.0,-83000000.0
Investing Cash Flow,-97093340.89,-62182028.86,-147765802.76,-34474492.36
Net Other Investing Changes,-3876262.67,2100000.0,,-2100000.0
Net Investment Purchase And Sale,,222166.67,583890.41,1158164.47
Sale Of Investment,,30333250.0,200583890.41,551158164.47
Purchase Of Investment,,-30111083.33,-200000000.0,-550000000.0
Net PPE Purchase And Sale,-93217078.22,-64504195.53,-148349693.17,-33532656.83
Sale Of PPE,,6285317.27,18743.5,6856.0
Purchase Of PPE,-93217078.22,-70789512.8,-148368436.67,-33539512.83
Operating Cash Flow,416089189.77,320419535.14,199081060.07,261909173.99
Change In Working Capital,-164987081.72,-284280579.76,-322419830.83,-73244239.59
Change In Other Current Assets,-4672220.22,-3550662.3,1014245.17,-1080921.65
Change In Payable,57985808.47,9721440.95,41643842.49,69615685.24
Change In Inventory,-40045465.91,17244411.39,-48192659.33,-22198289.98
Change In Receivables,-178255204.06,-307695769.8,-316885259.16,-119580713.2
Other Non Cash Items,7338.99,,4737.91,9265.3
Depreciation And Amortization,38314358.73,30943105.03,18002101.18,12548678.29
Amortization Cash Flow,2022467.74,1898295.41,1319505.67,881738.79
Depreciation,36291890.99,29044809.62,16682595.51,11666939.5
Gain Loss On Investment Securities,,-209591.2,-550840.01,-1092608.0
Gain Loss On Sale Of PPE,108000.71,-8340003.78,253877.26,31875.95
Net Income From Continuing Operations,517311443.91,563700530.14,484087299.67,167173382.53
Cash Flowsfromusedin Operating Activities Direct,416089189.77,320419535.14,199081060.07,261909173.99
Taxes Refund Paid Direct,-172284236.69,-218491194.45,-140477998.1,-78209988.77
Classesof Cash Payments,-295578882.92,-265925976.79,-229487967.69,-183218048.7
Other Cash Paymentsfrom Operating Activities,-31742064.42,-36706848.95,-25528943.38,-59998114.73
Paymentson Behalfof Employees,-90765578.84,-84205984.84,-60748217.91,-41171469.75
Paymentsto Suppliersfor Goodsand Services,-173071239.66,-145013143.0,-143210806.4,-82048464.22
Classesof Cash Receiptsfrom Operating Activities,883952309.38,804836706.38,569047025.86,523337211.46
Other Cash Receiptsfrom Operating Activities,34831387.68,36703845.64,61346491.44,59595174.04
Receiptsfrom Customers,849120921.7,768132860.74,507700534.42,463742037.42
