,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-81104464.59,59970577.78,-183999096.02,-209075887.51
Repayment Of Debt,-536190659.7,-714860000.0,-537620889.68,-242962530.91
Issuance Of Debt,399490000.0,683400000.0,528900000.0,271650000.0
Capital Expenditure,-217209637.54,-235802592.2,-153590556.44,-214073325.63
End Cash Position,499912848.44,731124005.96,889720726.53,1204606767.12
Beginning Cash Position,731124005.96,889720726.53,1204606767.12,975278383.38
Effect Of Exchange Rate Changes,7562217.63,7246176.52,29365282.87,-6505262.04
Changes In Cash,-238773375.15,-165842897.09,-344251323.46,235833645.78
Financing Cash Flow,-194837114.71,-95602597.12,-62885401.53,425116552.66
Net Other Financing Charges,-43251423.4,-46482959.29,-30351763.03,422544513.11
Cash Dividends Paid,-14885031.61,-17659637.83,-22468658.82,-25871049.54
Net Issuance Payments Of Debt,-136700659.7,-31460000.0,-8720889.68,28687469.09
Net Long Term Debt Issuance,-136700659.7,-31460000.0,-8720889.68,28687469.09
Long Term Debt Payments,-536190659.7,-714860000.0,-537620889.68,-242962530.91
Long Term Debt Issuance,399490000.0,683400000.0,528900000.0,271650000.0
Investing Cash Flow,-180041433.39,-366013469.95,-250957382.35,-194280345.0
Net Other Investing Changes,41813999.92,-109536516.06,-112274932.89,-37892379.64
Net Investment Purchase And Sale,-5053663.97,-20844211.18,9389404.4,51127276.76
Sale Of Investment,8946336.03,4158788.82,9389404.4,53127276.76
Purchase Of Investment,-14000000.0,-25003000.0,0.0,-2000000.0
Net Business Purchase And Sale,0.0,0.0,4713312.58,
Sale Of Business,0.0,0.0,4713312.58,
Purchase Of Business,0.0,0.0,0.0,
Net PPE Purchase And Sale,-216801769.34,-235632742.71,-152785166.44,-207515242.12
Sale Of PPE,407868.2,169849.49,805390.0,6558083.51
Purchase Of PPE,-217209637.54,-235802592.2,-153590556.44,-214073325.63
Capital Expenditure Reported,,,,
Operating Cash Flow,136105172.95,295773169.98,-30408539.58,4997438.12
Change In Working Capital,-78010871.12,28825531.59,-337262357.68,-352814813.92
Change In Other Current Assets,-10062851.7,-714225.8,-8560300.88,-8258718.72
Change In Payable,-150833827.17,-163203109.74,525606920.35,-85535847.32
Change In Inventory,210702388.41,41964970.43,-97955155.72,-64529870.6
Change In Receivables,-127816580.66,150777896.7,-756353821.43,-194490377.28
Other Non Cash Items,22093956.67,20255056.42,59533415.53,161799692.07
Deferred Tax,,,,
Depreciation And Amortization,128986702.3,121927796.21,86473723.75,81855730.92
Amortization Cash Flow,11073995.39,21817639.14,16100355.13,20378078.65
Depreciation,117912706.91,100110157.07,70373368.62,61477652.27
Gain Loss On Investment Securities,-25981680.24,-16061519.75,-28021516.65,-11017954.54
Gain Loss On Sale Of PPE,11263963.95,2182959.45,3530621.11,-1146015.46
Net Income From Continuing Operations,-249464914.32,68642700.18,135488655.39,-722605332.9
Cash Flowsfromusedin Operating Activities Direct,136105172.95,295773169.98,-30408539.58,4997438.12
Taxes Refund Paid Direct,-68567421.22,-65046322.73,-61784853.54,-94715690.26
Interest Received Direct,0.0,0.0,0.0,
Interest Paid Direct,0.0,0.0,0.0,
Classesof Cash Payments,-11660640289.2,-13141517582.58,-10934098377.72,-10590950779.14
Other Cash Paymentsfrom Operating Activities,-460931155.82,-256501336.44,-261143890.96,-163365224.53
Paymentson Behalfof Employees,-307535181.75,-293198358.23,-263098678.84,-217443246.52
Paymentsto Suppliersfor Goodsand Services,-10892173951.63,-12591817887.91,-10409855807.92,-10210142308.09
Classesof Cash Receiptsfrom Operating Activities,11865312883.37,13502337075.29,10965474691.68,10690663907.52
Other Cash Receiptsfrom Operating Activities,174021536.78,207005259.03,97371489.25,89938752.83
Receiptsfrom Customers,11691291346.59,13295331816.26,10868103202.43,10600725154.69
