,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,519180056.21,689239478.32,83175939.26,-192095572.8
Repayment Of Debt,-812708205.69,-669821224.11,-990525546.08,-936074753.61
Issuance Of Debt,1089873286.58,1041887931.97,1627297392.9,1112708056.21
Capital Expenditure,-120101309.79,-166765280.12,-152941418.47,-154251406.05
End Cash Position,5394411958.13,6117187006.86,2939933397.36,7421524979.39
Beginning Cash Position,6117187006.86,2939933397.36,7421524979.39,5498473810.37
Effect Of Exchange Rate Changes,6852897.28,1210552.03,10094802.49,2522490.82
Changes In Cash,-729627946.01,3176043057.47,-4491686384.52,1920528678.2
Financing Cash Flow,-907555126.8,1511149696.79,626877483.17,-1765642301.71
Net Other Financing Charges,-1023532469.85,1168893787.56,24354844.0,-812766.5
Cash Dividends Paid,-161187737.84,-29810798.63,-34249207.65,-1933893896.21
Net Issuance Payments Of Debt,277165080.89,372066707.86,636771846.82,176633302.6
Net Long Term Debt Issuance,277165080.89,372066707.86,636771846.82,176633302.6
Long Term Debt Payments,-812708205.69,-669821224.11,-990525546.08,-936074753.61
Long Term Debt Issuance,1089873286.58,1041887931.97,1627297392.9,1112708056.21
Investing Cash Flow,-461354185.21,808888602.24,-5354681225.42,3724015146.66
Net Other Investing Changes,,108240932.88,,3070000000.0
Net Investment Purchase And Sale,-341793550.09,830362687.16,-5276508341.97,805330426.55
Sale Of Investment,4967361077.78,1876903500.68,805623603.89,2419414291.67
Purchase Of Investment,-5309154627.87,-1046540813.52,-6082131945.86,-1614083865.12
Net Business Purchase And Sale,,,,
Purchase Of Business,,,,
Net PPE Purchase And Sale,-119560635.12,-129715017.8,-78172883.45,-151315279.89
Sale Of PPE,540674.67,37050262.32,74768535.02,2936126.16
Purchase Of PPE,-120101309.79,-166765280.12,-152941418.47,-154251406.05
Capital Expenditure Reported,,,,
Operating Cash Flow,639281366.0,856004758.44,236117357.73,-37844166.75
Change In Working Capital,160249586.36,151358612.23,-761414584.22,-1018421216.36
Change In Other Current Assets,-9720057.61,2625637.16,-24895667.14,-20472285.01
Change In Payable,-319269496.63,-94665201.04,329779792.74,-17092193.41
Change In Inventory,258930406.24,482163343.1,-573399303.13,-392918674.09
Change In Receivables,230308734.36,-238765166.99,-492899406.69,-587938063.85
Other Non Cash Items,32399327.71,25448531.74,25764247.29,20529135.48
Deferred Tax,,,,
Depreciation And Amortization,317104382.28,312905612.08,268705430.25,240285347.98
Amortization Cash Flow,14374643.22,13431585.68,13392763.21,11423846.26
Depreciation,302729739.06,299474026.4,255312667.04,228861501.72
Gain Loss On Investment Securities,-115541674.88,-86895720.97,-64881519.07,-444317817.31
Gain Loss On Sale Of PPE,12015506.99,-1417113.19,-212985303.84,9210851.09
Net Income From Continuing Operations,141390493.24,421300514.01,933640487.23,1115576682.69
Cash Flowsfromusedin Operating Activities Direct,639281366.0,856004758.44,236117357.73,-37844166.75
Taxes Refund Paid Direct,-337548075.0,-382055073.12,-387878993.77,-510032445.21
Classesof Cash Payments,-4005350464.03,-4358586037.68,-5133273303.09,-4430711555.74
Other Cash Paymentsfrom Operating Activities,-310062389.6,-441167470.21,-443836392.83,-473661215.28
Paymentson Behalfof Employees,-694743261.98,-761594780.58,-811980541.14,-772072812.1
Paymentsto Suppliersfor Goodsand Services,-3000544812.45,-3155823786.89,-3877456369.12,-3184977528.36
Classesof Cash Receiptsfrom Operating Activities,4982179905.03,5596645869.24,5757269654.59,4902899834.2
Other Cash Receiptsfrom Operating Activities,409139065.46,383466840.9,754201062.12,412772697.45
Receiptsfrom Customers,4573040839.57,5213179028.34,5003068592.47,4490127136.75
