,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,406346240.67,-680476861.47,265564929.32,1487292488.72
Repayment Of Debt,-293984600.0,-113000000.0,-400000000.0,-1495000000.0
Issuance Of Debt,219270656.55,223008471.56,675567124.51,758447277.22
Capital Expenditure,-59492897.64,-86377142.69,-80541329.31,-121453433.74
End Cash Position,722340824.74,906058237.25,1898555488.22,918706731.13
Beginning Cash Position,906058237.25,1898555488.22,918706731.13,297466271.66
Changes In Cash,-183717412.51,-992497250.97,979848757.09,621240459.47
Financing Cash Flow,-84749731.74,14151077.01,810743751.62,-871976138.33
Net Other Financing Charges,-1297048.36,-1298628.01,582265798.11,-1212982.92
Cash Dividends Paid,-6670795.56,-89665479.51,-43166850.91,-121380432.63
Net Issuance Payments Of Debt,-74713943.45,110008471.56,275567124.51,-736552722.78
Net Long Term Debt Issuance,-74713943.45,110008471.56,275567124.51,-736552722.78
Long Term Debt Payments,-293984600.0,-113000000.0,-400000000.0,-1495000000.0
Long Term Debt Issuance,219270656.55,223008471.56,675567124.51,758447277.22
Investing Cash Flow,-564806819.08,-412548609.2,-177001253.16,-115529324.66
Net Other Investing Changes,,156399387.23,,
Net Investment Purchase And Sale,-505335921.44,-482624233.74,-96489163.85,3356323.38
Sale Of Investment,189664078.56,107375766.26,3510836.15,3356323.38
Purchase Of Investment,-695000000.0,-590000000.0,-100000000.0,
Net Business Purchase And Sale,0.0,0.0,,
Sale Of Business,0.0,0.0,,
Purchase Of Business,0.0,0.0,,
Net PPE Purchase And Sale,-59470897.64,-86323762.69,-80512089.31,-118885648.04
Sale Of PPE,22000.0,53380.0,29240.0,2567785.7
Purchase Of PPE,-59492897.64,-86377142.69,-80541329.31,-121453433.74
Operating Cash Flow,465839138.31,-594099718.78,346106258.63,1608745922.46
Change In Working Capital,148597260.89,-800637050.23,-299056522.87,708662180.54
Change In Other Current Assets,4507776.49,-74436000.51,-5320705.03,6762478.22
Change In Payable,116539610.21,62560501.1,-5631881.36,72283859.07
Change In Inventory,-161994314.95,-785676478.0,264637890.16,324190555.52
Change In Receivables,189544189.14,-3085072.82,-552741826.64,305425287.73
Other Non Cash Items,10711126.15,3929236.77,5277063.03,28730090.85
Depreciation And Amortization,86475675.62,74344737.77,60699498.05,54400695.94
Amortization Cash Flow,31095150.91,25883558.92,32413407.26,30223828.28
Depreciation,55380524.71,48461178.85,28286090.79,24176867.66
Gain Loss On Investment Securities,-15970034.47,-8590150.28,-198334.75,4576627.23
Gain Loss On Sale Of PPE,884953.35,170322.09,478930.21,-206884.03
Net Income From Continuing Operations,182386677.58,-281643959.63,439431823.62,798307109.83
Cash Flowsfromusedin Operating Activities Direct,465839138.31,-594099718.78,346106258.63,1608745922.46
Taxes Refund Paid Direct,-236215527.65,-315456156.57,-380565186.54,-534738885.81
Classesof Cash Payments,-2698172432.59,-3628430237.82,-3601985082.94,-3319062300.29
Other Cash Paymentsfrom Operating Activities,-286267832.33,-71656877.03,-44701705.37,-558647672.95
Paymentson Behalfof Employees,-106796844.84,-98833258.83,-86250157.91,-84390962.99
Paymentsto Suppliersfor Goodsand Services,-2305107755.42,-3457940101.96,-3471033219.66,-2676023664.35
Classesof Cash Receiptsfrom Operating Activities,3400227098.55,3349786675.61,4328656528.11,5462547108.56
Other Cash Receiptsfrom Operating Activities,139294845.22,47707526.14,71279014.82,684853490.97
Receiptsfrom Customers,3260932253.33,3302079149.47,4257377513.29,4777693617.59
