,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-3442637.727713,-14059762.9525,-13809723.240042,-1048712.355314
Tax Rate For Calcs,0.058375,0.25,0.183819,0.049174
Normalized EBITDA,310065077.66,124860414.59,22656839.59,284780691.78
Total Unusual Items,-58974780.98,-56239051.81,-75126896.48,-21326371.72
Total Unusual Items Excluding Goodwill,-58974780.98,-56239051.81,-75126896.48,-21326371.72
Net Income From Continuing Operation Net Minority Interest,146323729.46,22254227.52,-57229887.93,202121011.06
Reconciled Depreciation,54478559.94,38233226.45,36857189.77,27095321.24
Reconciled Cost Of Revenue,1025649932.45,708345867.11,488731728.82,624070702.89
EBITDA,251090296.68,68621362.78,-52470056.89,263454320.06
EBIT,196611736.74,30388136.33,-89327246.66,236358998.82
Net Interest Income,-4892648.39,-7035296.71,-6129276.39,-20467858.2
Interest Expense,13674075.98,16108264.21,11959607.01,26041114.2
Interest Income,10086058.76,9801815.72,6395654.11,5760226.79
Normalized Income,201855872.712287,64433516.3775,4087285.309958,222398670.424686
Net Income From Continuing And Discontinued Operation,146323729.46,22254227.52,-57229887.93,202121011.06
Total Expenses,1621965690.94,1158415411.64,931530318.77,997217107.84
Rent Expense Supplemental,10339274.96,7274544.27,8281931.71,6823645.42
Total Operating Income As Reported,183486782.2,15523397.44,-101373629.52,210636272.56
Diluted Average Shares,200232472.0,180815599.0,181460620.0,179970763.0
Basic Average Shares,198146717.0,180815599.0,181460620.0,179970763.0
Diluted EPS,0.730769,0.123077,-0.315385,1.123077
Basic EPS,0.738462,0.123077,-0.315385,1.123077
Net Income Common Stockholders,146323729.46,22254227.52,-57229887.93,202121011.06
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,146323729.46,22254227.52,-57229887.93,202121011.06
Minority Interests,-25934992.23,3382268.12,25438554.99,2145390.33
Net Income Including Noncontrolling Interests,172258721.69,18871959.4,-82668442.92,199975620.73
Net Income Continuous Operations,172258721.69,18871959.4,-82668442.92,199975620.73
Tax Provision,10678939.07,-4592087.28,-18618410.75,10342263.89
Pretax Income,182937660.76,14279872.12,-101286853.67,210317884.62
Other Non Operating Income Expenses,-549121.44,-1243525.32,86775.85,-318387.94
Special Income Charges,-63595451.33,-60492191.94,-75708739.1,-21366871.72
Other Special Charges,162331.16,-1169371.17,-33005.86,-5797.24
Write Off,3016705.84,22909733.55,1174109.83,9671646.3
Impairment Of Capital Assets,60416414.33,38751829.56,74567635.13,11701022.66
Net Non Operating Interest Income Expense,-4892648.39,-7035296.71,-6129276.39,-20467858.2
Total Other Finance Cost,1304631.17,728848.22,565323.49,186970.79
Interest Expense Non Operating,13674075.98,16108264.21,11959607.01,26041114.2
Interest Income Non Operating,10086058.76,9801815.72,6395654.11,5760226.79
Operating Income,213917096.97,74373371.2,-26173562.58,219582053.16
Operating Expense,596315758.49,450069544.53,442798589.95,373146404.95
Other Operating Expenses,13303592.52,7157054.7,-1492136.55,7966367.78
Depreciation And Amortization In Income Statement,22422289.35,18079773.06,16943253.47,13673916.43
Depreciation Income Statement,22422289.35,18079773.06,16943253.47,13673916.43
Research And Development,225706304.59,175016058.98,186825676.12,175263387.93
Selling General And Administration,86979551.06,64312579.2,70796952.31,51498344.53
Selling And Marketing Expense,54944425.32,33120410.37,43090053.44,35603119.47
General And Administrative Expense,32035125.74,31192168.83,27706898.87,15895225.06
Rent And Landing Fees,10339274.96,7274544.27,8281931.71,6823645.42
Gross Profit,810232855.46,524442915.73,416625027.37,592728458.11
Cost Of Revenue,1025649932.45,708345867.11,488731728.82,624070702.89
Total Revenue,1835882787.91,1232788782.84,905356756.19,1216799161.0
Operating Revenue,1835882787.91,1232788782.84,905356756.19,1216799161.0
