,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,213133112.0,213133112.0,213133112.0,213161012.0
Share Issued,213133112.0,213133112.0,213133112.0,213161012.0
Total Debt,158666310.31,117726425.6,20195316.7,23768285.49
Tangible Book Value,1798239631.27,2201327666.96,2610383597.92,2675239232.55
Invested Capital,2024588386.42,2350419030.68,2688797504.0,2721143922.45
Working Capital,924540816.01,1316803763.97,1744812638.09,2025061687.34
Net Tangible Assets,1798239631.27,2201327666.96,2610383597.92,2675239232.55
Capital Lease Obligations,19740702.93,53970059.77,3257483.28,5210043.36
Common Stock Equity,1912088386.42,2305419030.68,2688797504.0,2721143922.45
Total Capitalization,1912088386.42,2305419030.68,2688797504.0,2721143922.45
Total Equity Gross Minority Interest,1924676244.63,2317200603.57,2698944238.62,2729543562.01
Minority Interest,12587858.21,11781572.89,10146734.62,8399639.56
Stockholders Equity,1912088386.42,2305419030.68,2688797504.0,2721143922.45
Treasury Stock,,,0.0,0.0
Retained Earnings,592222535.08,978319621.62,1363850031.13,1401363436.5
Additional Paid In Capital,712604388.58,712604388.58,712604388.58,712604388.58
Capital Stock,213133112.0,213133112.0,213133112.0,213133112.0
Common Stock,213133112.0,213133112.0,213133112.0,213133112.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,1006793983.83,945439822.49,723785466.15,592293370.65
Total Non Current Liabilities Net Minority Interest,92235102.33,131698059.15,71588032.67,53775543.36
Other Non Current Liabilities,3113785.3,,,
Preferred Securities Outside Stock Equity,,,0.0,0.0
Non Current Deferred Revenue,17889603.51,22334327.23,21287345.07,4755000.0
Non Current Deferred Taxes Liabilities,51491010.59,55393672.15,47043204.32,43810500.0
Long Term Debt And Capital Lease Obligation,19740702.93,53970059.77,3257483.28,5210043.36
Long Term Capital Lease Obligation,19740702.93,53970059.77,3257483.28,5210043.36
Long Term Debt,,,0.0,0.0
Current Liabilities,914558881.5,813741763.34,652197433.48,538517827.29
Other Current Liabilities,16588301.47,16572120.99,9252837.45,1182847.43
Current Debt And Capital Lease Obligation,138925607.38,63756365.83,16937833.42,18558242.13
Current Debt,112500000.0,45000000.0,0.0,0.0
Payables,675583075.88,660743381.55,561124857.93,460732059.95
Other Payable,138171669.58,118790069.38,97345423.03,142759221.08
Dividends Payable,0.0,10979.55,10979.55,10979.55
Total Tax Payable,26118132.29,32422060.09,35906885.32,33153833.38
Accounts Payable,511293274.01,509520272.53,427861570.03,284808025.94
Total Assets,2931470228.46,3262640426.06,3422729704.77,3321836932.66
Total Non Current Assets,1092370530.95,1132094898.75,1025719633.2,758257418.03
Other Non Current Assets,5143113.21,,48468872.5,
Non Current Deferred Assets,887018.71,1582320.67,2758364.03,2085112.61
Non Current Deferred Taxes Assets,107679061.05,106359948.86,81412338.88,57054179.55
Investmentin Financial Assets,362864621.47,362864621.47,357864621.47,341504621.47
Held To Maturity Securities,,,0.0,0.0
Available For Sale Securities,362864621.47,362864621.47,357864621.47,341504621.47
Long Term Equity Investment,113877805.81,124860816.82,104889590.3,38670963.24
Investment Properties,19041319.55,20168107.52,17259517.12,2402373.02
Goodwill And Other Intangible Assets,113848755.15,104091363.72,78413906.08,45904689.9
Other Intangible Assets,108511685.38,98754293.95,73076836.31,40567620.13
Goodwill,5337069.77,5337069.77,5337069.77,5337069.77
Net PPE,369028836.0,412167719.69,334652422.82,270635478.24
Accumulated Depreciation,-155161532.17,-130413734.69,-108244948.51,-94963903.93
Gross PPE,524190368.17,542581454.38,442897371.33,365599382.17
Construction In Progress,,,0.0,0.0
Other Properties,122667023.92,149743608.11,88167441.81,73700628.47
Machinery Furniture Equipment,73348601.88,65136619.37,49530981.35,31473973.28
Buildings And Improvements,,,,
Properties,328174742.37,327701226.9,305198948.17,260424780.42
Current Assets,1839099697.51,2130545527.31,2397010071.57,2563579514.63
Other Current Assets,23916265.93,27947692.64,21366559.53,20134101.76
Hedging Assets Current,,,0.0,0.0
Assets Held For Sale Current,,,0.0,0.0
Restricted Cash,,,0.0,0.0
Prepaid Assets,37244332.11,41427685.28,59953988.59,40671181.22
Inventory,374235974.51,398420679.46,419114093.51,335852907.32
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,118253116.3,102003977.96,103874682.91,85678367.63
Work In Process,153760789.69,157175091.97,126062067.86,117704666.44
Raw Materials,102222068.52,139241609.53,189177342.74,132469873.25
Other Receivables,87702529.24,58928333.94,60379369.82,81123759.36
Accounts Receivable,944951320.98,1066525470.89,1036390750.1,971234330.7
Allowance For Doubtful Accounts Receivable,-272778297.34,-257714173.49,-197322131.54,-160005077.42
Gross Accounts Receivable,1217729618.32,1324239644.38,1233712881.64,1131239408.12
Cash Cash Equivalents And Short Term Investments,371049274.74,537295665.1,799805310.02,1114563234.27
Other Short Term Investments,,330000000.0,,
Cash And Cash Equivalents,371049274.74,207295665.1,799805310.02,1114563234.27
Cash Equivalents,16226831.57,12147492.07,6565957.72,5613819.54
Cash Financial,354822443.17,195148173.03,793239352.3,1108949414.73
