,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1169801516.0,1169801516.0,1169801516.0,1175657958.0
Share Issued,1169801516.0,1169801516.0,1169801516.0,1175657958.0
Tangible Book Value,2764112196.2,2725980650.8,2702888029.37,2658471202.56
Invested Capital,2926078630.03,2890873804.88,2870810163.15,2829453756.24
Working Capital,1841253220.85,1899421855.75,1977422827.48,2073692716.43
Net Tangible Assets,2764112196.2,2725980650.8,2702888029.37,2658471202.56
Common Stock Equity,2926078630.03,2890873804.88,2870810163.15,2829453756.24
Total Capitalization,2926078630.03,2890873804.88,2870810163.15,2829453756.24
Total Equity Gross Minority Interest,2926086263.28,2890958674.53,2871123954.56,2830005538.35
Minority Interest,7633.25,84869.65,313791.41,551782.11
Stockholders Equity,2926078630.03,2890873804.88,2870810163.15,2829453756.24
Treasury Stock,104266022.48,50201252.09,29684190.89,17287479.92
Retained Earnings,1589400530.5,1515410367.74,1487001526.3,1431687838.51
Additional Paid In Capital,32591952.15,32599279.01,32602356.62,44033394.54
Capital Stock,1169801516.0,1169801516.0,1169801516.0,1175657958.0
Common Stock,1169801516.0,1169801516.0,1169801516.0,1175657958.0
Total Liabilities Net Minority Interest,502010914.46,529443102.8,564653730.32,534457154.58
Total Non Current Liabilities Net Minority Interest,26913947.59,26366343.47,31909088.55,37349587.36
Other Non Current Liabilities,,,2375234.05,2375234.05
Non Current Deferred Revenue,19800000.0,21669047.79,24097619.19,26526190.59
Non Current Deferred Taxes Liabilities,7113947.59,4697295.68,5436235.31,8448162.72
Current Liabilities,475096966.87,503076759.33,532744641.77,497107567.22
Other Current Liabilities,3888068.8,5176406.1,5099778.29,6254621.19
Payables,441886939.25,458575263.41,489006755.37,444994798.05
Other Payable,87188193.19,97128491.99,88224464.16,88121426.56
Dividends Payable,84490.0,84490.0,84490.0,84490.0
Total Tax Payable,13287194.32,16595500.89,39855356.44,42900120.21
Accounts Payable,341327061.74,344766780.53,360842444.77,313888761.28
Total Assets,3428097177.74,3420401777.33,3435777684.88,3364462692.93
Total Non Current Assets,1111746990.02,1017903162.25,925610215.63,793662409.28
Other Non Current Assets,104135400.21,86663169.38,65091828.48,66695276.48
Non Current Deferred Assets,899508.63,1113945.04,2469571.65,4068990.23
Non Current Deferred Taxes Assets,24391501.94,30744536.77,27871226.65,16371241.65
Investmentin Financial Assets,30892674.24,31031548.93,31319435.54,30996461.73
Available For Sale Securities,30892674.24,31031548.93,31319435.54,30996461.73
Long Term Equity Investment,103742191.11,109762504.83,98641696.6,85448163.48
Investment Properties,65917382.52,66364466.89,71289336.57,76212146.61
Goodwill And Other Intangible Assets,161966433.83,164893154.08,167922133.78,170982553.68
Other Intangible Assets,106901318.62,109828038.87,112857018.57,115917438.47
Goodwill,55065115.21,55065115.21,55065115.21,55065115.21
Net PPE,619801897.54,527329836.33,461004986.36,342887575.42
Accumulated Depreciation,-267144181.36,-245541407.15,-215618324.35,-189425303.23
Gross PPE,886946078.9,772871243.48,676623310.71,532312878.65
Construction In Progress,346312614.65,220968629.31,126957643.39,108344844.08
Other Properties,39125262.86,39069959.73,38493094.03,32184282.82
Machinery Furniture Equipment,113845107.59,115143794.52,113505583.18,105353803.68
Buildings And Improvements,,,,
Properties,387663093.8,397688859.92,397666990.11,286429948.07
Current Assets,2316350187.72,2402498615.08,2510167469.25,2570800283.65
Other Current Assets,70333375.92,64200901.92,147983.11,7260337.07
Assets Held For Sale Current,912389.38,,,
Prepaid Assets,3369096.11,6881548.32,7215305.48,9350620.11
Inventory,301465029.15,275634994.14,292982375.33,303604819.48
Inventories Adjustments Allowances,0.0,,,
Other Inventories,1865892.21,1138340.35,1466618.24,1326891.95
Finished Goods,169623016.72,169660251.95,154038606.37,147057938.03
Work In Process,21830572.76,14877009.12,13562350.49,13759613.91
Raw Materials,108145547.46,89959392.72,123914800.23,141460375.59
Other Receivables,70355030.76,91721173.44,87879653.48,94809052.93
Accounts Receivable,509308500.25,506478090.71,476592225.71,447313826.63
Allowance For Doubtful Accounts Receivable,-109407031.36,-94790814.92,-85271781.34,-70564587.5
Gross Accounts Receivable,618715531.61,601268905.63,561864007.05,517878414.13
Cash Cash Equivalents And Short Term Investments,1360606766.15,1457581906.55,1645349926.14,1708461627.43
Other Short Term Investments,790394549.95,865397098.28,1121310270.6,890669113.57
Cash And Cash Equivalents,570212216.2,592184808.27,524039655.54,817792513.86
Cash Equivalents,67463830.27,75940973.54,47277612.43,45091192.26
Cash Financial,502748385.93,516243834.73,476762043.11,772701321.6
