,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-279706225.57,-41864510.37,6020998.28,42221502.15
Repayment Of Debt,,-200780000.0,,-155000000.0
Issuance Of Debt,,50000000.0,50780000.0,130000000.0
Capital Expenditure,-218603657.11,-133372109.97,-54725967.98,-975049.21
End Cash Position,502743993.89,790817096.28,247839919.12,106966124.16
Beginning Cash Position,790817096.28,247839919.12,106966124.16,101652388.1
Effect Of Exchange Rate Changes,680978.07,3961397.27,5646926.07,-3298607.97
Changes In Cash,-288754080.46,539015779.89,135226868.89,8612344.03
Financing Cash Flow,-29217144.89,540188631.27,56298150.31,-33527557.66
Net Other Financing Charges,-1221139.36,693989042.94,8285650.31,-6476007.67
Cash Dividends Paid,-27773254.41,-2146666.67,-2767500.0,-2051549.99
Net Issuance Payments Of Debt,,-150780000.0,50780000.0,-25000000.0
Net Long Term Debt Issuance,,-150780000.0,50780000.0,-25000000.0
Long Term Debt Payments,,-200780000.0,,-155000000.0
Long Term Debt Issuance,,50000000.0,50780000.0,130000000.0
Investing Cash Flow,-198434367.11,-92680450.98,18181752.32,-1056649.67
Net Other Investing Changes,,-12508341.01,,-146200.0
Net Investment Purchase And Sale,19600000.0,53200000.0,9880000.0,
Sale Of Investment,19600000.0,53200000.0,9880000.0,
Net PPE Purchase And Sale,-218034367.11,-133372109.97,8301752.32,-910449.67
Sale Of PPE,569290.0,,63027720.3,64599.54
Purchase Of PPE,-218603657.11,-133372109.97,-54725967.98,-975049.21
Capital Expenditure Reported,,,,
Operating Cash Flow,-61102568.46,91507599.6,60746966.26,43196551.36
Change In Working Capital,-249599838.39,-39101190.9,-47333045.15,-57210458.24
Change In Other Current Assets,46364.26,-17448.15,301243.85,10957.53
Change In Payable,-74431531.38,77527244.04,51649839.58,18599832.36
Change In Inventory,-51125943.29,-12014060.41,-56543206.46,-81388071.39
Change In Receivables,-124088727.98,-104596926.38,-42740922.12,5566823.26
Other Non Cash Items,67313.28,2045303.82,-15963900.91,7461223.06
Deferred Tax,,,,
Depreciation And Amortization,42844752.8,42709698.15,55934106.83,50691643.81
Amortization Cash Flow,14175559.09,12915726.08,12029815.66,11765283.28
Depreciation,28669193.71,29793972.07,43904291.17,38926360.53
Gain Loss On Investment Securities,-64461198.68,-76732469.97,-79385787.66,-47178482.78
Gain Loss On Sale Of PPE,-32486.42,-17231267.81,-24113384.79,2998593.41
Net Income From Continuing Operations,214537179.92,190437326.52,171902038.81,81483034.27
Cash Flowsfromusedin Operating Activities Direct,-61102568.46,91507599.6,60746966.26,43196551.36
Taxes Refund Paid Direct,19704344.17,22533261.48,37926833.32,21652794.09
Classesof Cash Payments,-1172527705.48,-863606208.24,-812765570.53,-650462875.03
Other Cash Paymentsfrom Operating Activities,-47563667.09,-50232283.27,-62318998.6,-45289694.98
Paymentson Behalfof Employees,-184318942.22,-142881499.72,-119400601.97,-112969914.57
Paymentsto Suppliersfor Goodsand Services,-940645096.17,-670492425.25,-631045969.96,-492203265.48
Classesof Cash Receiptsfrom Operating Activities,1091720792.85,932580546.36,835585703.47,672006632.3
Other Cash Receiptsfrom Operating Activities,35806610.61,27969017.67,19928425.36,21941634.53
Receiptsfrom Customers,1055914182.24,904611528.69,815657278.11,650064997.77
