,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-7737256.897131,-1711818.410977,-596906.788106,-1388200.998063
Tax Rate For Calcs,0.17613,0.071532,0.058192,0.11418
Normalized EBITDA,1785346317.35,1808251353.26,1278967938.24,1554609275.19
Total Unusual Items,-43929206.7,-23930680.01,-10257504.3,-12157993.39
Total Unusual Items Excluding Goodwill,-43929206.7,-23930680.01,-10257504.3,-12157993.39
Net Income From Continuing Operation Net Minority Interest,630123882.82,803061866.09,582346075.76,771395127.66
Reconciled Depreciation,769970925.68,746328490.06,540413974.08,439603578.49
Reconciled Cost Of Revenue,935369349.75,907889822.32,700880855.61,579963254.47
EBITDA,1741417110.65,1784320673.25,1268710433.94,1542451281.8
EBIT,971446184.97,1037992183.19,728296459.86,1102847703.31
Net Interest Income,-508340418.19,-514622971.26,-414251438.28,-332627599.6
Interest Expense,205442806.78,170370335.47,109657333.95,232037699.79
Interest Income,1866001.76,12004789.73,32717132.37,1097406.23
Normalized Income,666315832.622869,825280727.689023,592006673.271894,782164920.051937
Net Income From Continuing And Discontinued Operation,630123882.82,803061866.09,582346075.76,771395127.66
Total Expenses,1083433131.11,1058525004.69,863468783.51,707023527.63
Total Operating Income As Reported,780639094.25,872650007.59,572636167.61,869876438.39
Diluted Average Shares,2520495531.0,2509568332.0,2426441982.0,2410609774.0
Basic Average Shares,2423553395.0,2433520806.0,2426441982.0,2203986079.0
Diluted EPS,0.25,0.32,0.24,0.32
Basic EPS,0.26,0.33,0.24,0.35
Net Income Common Stockholders,630123882.82,803061866.09,582346075.76,771395127.66
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,630123882.82,803061866.09,582346075.76,771395127.66
Minority Interests,-963220.61,-2496929.01,-293075.61,14304.37
Net Income Including Noncontrolling Interests,631087103.43,805558795.1,582639151.37,771380823.29
Net Income Continuous Operations,631087103.43,805558795.1,582639151.37,771380823.29
Tax Provision,134916274.76,62063052.62,35999974.54,99429180.23
Pretax Income,766003378.19,867621847.72,618639125.91,870810003.52
Other Non Operating Income Expenses,-14635716.06,-5028159.87,46002958.3,-1133282.62
Special Income Charges,-43949815.73,-23951826.6,-10278573.43,-12177813.88
Other Special Charges,-711651.98,,-2344.91,730.37
Write Off,44661467.71,18883390.53,10280918.34,12177083.51
Impairment Of Capital Assets,,5068436.07,,
Net Non Operating Interest Income Expense,-508340418.19,-514622971.26,-414251438.28,-332627599.6
Total Other Finance Cost,304763613.17,356257425.52,337311236.7,101687306.04
Interest Expense Non Operating,205442806.78,170370335.47,109657333.95,232037699.79
Interest Income Non Operating,1866001.76,12004789.73,32717132.37,1097406.23
Operating Income,1338481599.76,1344518521.93,977499023.83,739650042.36
Operating Expense,148063781.36,150635182.37,162587927.9,127060273.16
Other Operating Expenses,21425153.11,16308372.35,8503786.28,7463426.46
Depreciation And Amortization In Income Statement,9087792.38,9636744.87,9481351.49,6992293.42
Depreciation Income Statement,9087792.38,9636744.87,9481351.49,6992293.42
Selling General And Administration,85660703.63,92029088.54,117675298.57,91951556.52
General And Administrative Expense,85660703.63,92029088.54,117675298.57,91951556.52
Gross Profit,1486545381.12,1495153704.3,1140086951.73,866710315.52
Cost Of Revenue,935369349.75,907889822.32,700880855.61,579963254.47
Total Revenue,2421914730.87,2403043526.62,1840967807.34,1446673569.99
Operating Revenue,2421914730.87,2403043526.62,1840967807.34,1446673569.99
