,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-444852385.907537,-82922751.772803,-13232000000.0,-5318500000.0
Tax Rate For Calcs,0.138067,0.054447,0.25,0.25
Total Unusual Items,-3222000000.0,-1523000000.0,-52928000000.0,-21274000000.0
Total Unusual Items Excluding Goodwill,-3222000000.0,-1523000000.0,-52928000000.0,-21274000000.0
Net Income From Continuing Operation Net Minority Interest,154078000000.0,106935000000.0,51184000000.0,32082000000.0
Reconciled Depreciation,4892000000.0,5029000000.0,5016000000.0,4928000000.0
EBIT,,,,28910000000.0
Net Interest Income,,,,-4863000000.0
Interest Expense,,,,4863000000.0
Interest Income,124128000000.0,116758000000.0,-126810000000.0,
Normalized Income,156855147614.09247,108375077248.2272,90880000000.0,48037500000.0
Net Income From Continuing And Discontinued Operation,154078000000.0,106935000000.0,51184000000.0,32082000000.0
Total Expenses,423485000000.0,396989000000.0,344486000000.0,798258000000.0
Rent Expense Supplemental,,,319000000.0,323000000.0
Diluted Average Shares,28271192661.0,28289682540.0,28278453039.0,28142105263.0
Basic Average Shares,28271192661.0,28289682540.0,28278453039.0,28142105263.0
Diluted EPS,5.45,3.78,1.81,1.14
Basic EPS,5.45,3.78,1.81,1.14
Diluted NI Availto Com Stockholders,,,,32082000000.0
Net Income Common Stockholders,154078000000.0,106935000000.0,51184000000.0,32082000000.0
Net Income,154078000000.0,106935000000.0,51184000000.0,32082000000.0
Minority Interests,-2474000000.0,-2005000000.0,-1523000000.0,-1432000000.0
Net Income Including Noncontrolling Interests,156552000000.0,108940000000.0,52707000000.0,33514000000.0
Net Income Continuous Operations,156552000000.0,108940000000.0,52707000000.0,33514000000.0
Tax Provision,25077000000.0,6273000000.0,-719000000.0,-9467000000.0
Pretax Income,181629000000.0,115213000000.0,51988000000.0,24047000000.0
Other Income Expense,11439000000.0,10822000000.0,10055000000.0,9084000000.0
Special Income Charges,-3222000000.0,-1523000000.0,-52928000000.0,-21274000000.0
Other Special Charges,-53000000.0,-88000000.0,-73000000.0,-122000000.0
Write Off,3275000000.0,1611000000.0,53001000000.0,21396000000.0
Net Non Operating Interest Income Expense,,,,-4863000000.0
Interest Expense Non Operating,,,,4863000000.0
Other Operating Expenses,9281000000.0,8920000000.0,-20207000000.0,31984000000.0
Selling General And Administration,-19530000000.0,-19000000000.0,18181000000.0,16733000000.0
General And Administrative Expense,-19530000000.0,-19000000000.0,18181000000.0,16733000000.0
Other Gand A,,,,39874000000.0
Rent And Landing Fees,,,319000000.0,323000000.0
Total Revenue,605114000000.0,512202000000.0,396474000000.0,822305000000.0
Operating Revenue,605114000000.0,512202000000.0,396474000000.0,822305000000.0
Loss Adjustment Expense,,,,646632000000.0
Net Policyholder Benefits And Claims,149238000000.0,180166000000.0,150641000000.0,170060000000.0
Policyholder Benefits Gross,,,,646632000000.0
